Sampling_Time,Site,Location,Bag,Rep,L,W
5,North,HIOC,2,6,5.685,4.707
5,North,HIOC,2,7,5.901,3.751
5,North,HIOC,2,8,6.113,4.118
5,North,HIOC,2,9,4.568,2.719
5,North,HIOC,2,10,5.886,3.887
5,North,HIOC,2,11,5.506,3.328
5,North,HIOC,2,12,4.293,3.365
5,North,HIOC,2,13,4.075,2.903
5,North,HIOC,2,14,4.899,3.07
5,North,HIOC,2,15,4.901,3.35
5,North,HIOC,2,16,4.821,3.056
5,North,HIOC,2,17,5.192,3.063
5,North,HIOC,2,18,6.2,3.012
5,North,HIOC,2,19,7.035,3.468
5,North,HIOC,2,20,5.978,3.397
5,North,HIOC,3,1,5.69,3.704
5,North,HIOC,3,2,4.873,2.75
5,North,HIOC,3,3,4.386,3.941
5,North,HIOC,3,4,5.75,3.412
5,North,HIOC,3,5,6.34,3.684
5,North,HIOC,3,6,5.681,3.253
5,North,HIOC,3,7,5.654,4.31
5,North,HIOC,3,8,4.316,2.432
5,North,HIOC,3,9,5.433,4.117
5,North,HIOC,3,10,6.726,4.047
5,North,HIOC,3,11,6.182,3.886
5,North,HIOC,3,12,5.811,4.319
5,North,HIOC,3,13,2.979,1.97
5,North,HIOC,3,14,5.821,2.706
5,North,HIOC,3,15,6.193,4.141
5,North,HIOC,3,16,5.545,3.393
5,North,HIOC,3,17,7.048,3.295
5,North,HIOC,3,18,6.275,3.033
5,North,HIOC,3,19,5.663,3.273
5,North,HIOC,3,20,4.556,2.6
5,North,HIOC,4,1,3.329,2.306
5,North,HIOC,4,2,5.978,3.147
5,North,HIOC,4,3,6.299,4.124
5,North,HIOC,4,4,6.483,3.511
5,North,HIOC,4,5,5.212,3.789
5,North,HIOC,4,6,5.72,3.966
5,North,HIOC,4,7,5.547,3.671
5,North,HIOC,4,8,3.876,2.21
5,North,HIOC,4,9,7.177,3.557
5,North,HIOC,4,10,6.051,3.287
5,North,HIOC,4,11,5.035,3.15
5,North,HIOC,4,12,5.477,2.967
5,North,HIOC,4,13,6.507,3.171
5,North,HIOC,4,14,5.507,3.02
5,North,HIOC,4,15,4.582,3.216
5,North,HIOC,4,16,4.802,2.65
5,North,HIOC,4,17,5.869,2.989
5,North,HIOC,4,18,5.107,3.218
5,North,HIOC,4,19,6.023,3.071
5,North,HIOC,4,20,6.159,3.661
1,South,TBOC,5,1,4.07,2.555
1,South,TBOC,5,2,3.466,2.656
1,South,TBOC,5,3,3.981,2.269
1,South,TBOC,5,4,4.607,2.905
1,South,TBOC,5,5,4.195,3.475
1,South,TBOC,5,6,4.947,2.99
1,South,TBOC,5,7,3.327,2.244
1,South,TBOC,5,8,4.395,2.367
1,South,TBOC,5,9,4.252,2.364
1,South,TBOC,5,10,4.43,3.123
1,South,TBOC,5,11,2.56,1.956
1,South,TBOC,5,12,3.602,2.547
1,South,TBOC,5,13,5.203,2.679
1,South,TBOC,5,14,4.763,2.678
1,South,TBOC,5,15,4.098,2.918
1,South,TBOC,5,16,3.843,3.149
1,South,TBOC,5,17,3.492,2.763
1,South,TBOC,5,18,3.218,2.228
1,South,TBOC,5,19,4.901,2.673
1,South,TBOC,5,20,3.308,2.501
1,South,TBOC,6,1,4.446,2.734
1,South,TBOC,6,2,4.73,2.868
1,South,TBOC,6,3,4.267,3.146
1,South,TBOC,6,4,5.345,2.372
1,South,TBOC,6,5,4.51,3.729
1,South,TBOC,6,6,3.057,2.406
1,South,TBOC,6,7,4.559,2.186
1,South,TBOC,6,8,4.256,2.41
1,South,TBOC,6,9,4.293,3.283
1,South,TBOC,6,10,4.188,3.301
1,South,TBOC,6,11,3.647,2.393
1,South,TBOC,6,12,3.103,3.988
1,South,TBOC,6,13,4.951,3.342
1,South,TBOC,6,14,4.571,3.022
1,South,TBOC,6,15,4.359,2.74
1,South,TBOC,6,16,3.817,2.792
1,South,TBOC,6,17,4.28,3.832
1,South,TBOC,6,18,4.662,2.026
1,South,TBOC,6,19,4.805,3.073
1,South,TBOC,6,20,4.476,3.193
1,South,TBOC,7,1,5.44,2.516
1,South,TBOC,7,2,4.181,3.463
1,South,TBOC,7,3,3.472,3.775
1,South,TBOC,7,4,4.371,2.783
1,South,TBOC,7,5,4.976,2.507
1,South,TBOC,7,6,4.018,3.181
1,South,TBOC,7,7,3.596,2.794
1,South,TBOC,7,8,4.853,2.564
1,South,TBOC,7,9,3.739,2.884
1,South,TBOC,7,10,3.823,2.407
1,South,TBOC,7,11,5.161,2.681
1,South,TBOC,7,12,3.825,2.746
1,South,TBOC,7,13,4.48,2.712
1,South,TBOC,7,14,5.475,3.208
1,South,TBOC,7,15,4.11,3.669
1,South,TBOC,7,16,3.601,2.748
1,South,TBOC,7,17,5.355,2.601
1,South,TBOC,7,18,4.514,3.939
1,South,TBOC,7,19,3.403,2.063
1,South,TBOC,7,20,4.125,3.807
1,South,TBOC,8,1,4.729,2.555
1,South,TBOC,8,2,5.06,3.403
1,South,TBOC,8,3,4.635,3.358
1,South,TBOC,8,4,4.203,2.945
1,South,TBOC,8,5,4.153,2.979
1,South,TBOC,8,6,5.036,2.754
1,South,TBOC,8,7,4.503,2.976
1,South,TBOC,8,8,3.877,3.013
1,South,TBOC,8,9,4.683,2.719
1,South,TBOC,8,10,4.397,2.802
1,South,TBOC,8,11,4.698,2.494
1,South,TBOC,8,12,4.114,3.779
1,South,TBOC,8,13,3.379,2.481
1,South,TBOC,8,14,5.553,3.27
1,South,TBOC,8,15,3.991,2.739
1,South,TBOC,8,16,3.975,2.826
1,South,TBOC,8,17,4.043,2.936
1,South,TBOC,8,18,5.358,2.916
1,South,TBOC,8,19,3.545,2.784
1,South,TBOC,8,20,4.683,3.246
5,South,TBOC,5,1,5.45,3.384
5,South,TBOC,5,2,6.837,4
5,South,TBOC,5,3,5.702,3.866
5,South,TBOC,5,4,5.77,4.257
5,South,TBOC,5,5,5.988,3.34
5,South,TBOC,5,6,5.35,3.867
5,South,TBOC,5,7,6.348,2.775
5,South,TBOC,5,8,5.183,3.786
5,South,TBOC,5,9,4.523,2.759
5,South,TBOC,5,10,6.883,3.017
5,South,TBOC,5,11,6.647,3.999
5,South,TBOC,5,12,5.544,2.682
5,South,TBOC,5,13,4.582,2.98
5,South,TBOC,5,14,5.073,2.702
5,South,TBOC,5,15,4.898,3.292
5,South,TBOC,5,16,4.782,3.093
5,South,TBOC,5,17,5.784,3.287
5,South,TBOC,5,18,5.916,3.397
5,South,TBOC,5,19,5.825,3.687
5,South,TBOC,5,20,5.742,2.804
5,South,TBOC,6,1,5.42,3.35
5,South,TBOC,6,2,3.965,3.392
5,South,TBOC,6,3,6.47,3.86
5,South,TBOC,6,4,4.617,3.748
5,South,TBOC,6,5,5.038,4.079
5,South,TBOC,6,6,5.337,4.341
5,South,TBOC,6,7,3.999,3.464
5,South,TBOC,6,8,5.605,2.441
5,South,TBOC,6,9,5.753,3.035
5,South,TBOC,6,10,4.439,3.436
5,South,TBOC,6,11,4.974,3.502
5,South,TBOC,6,12,5.508,3.148
5,South,TBOC,6,13,7.162,4.35
5,South,TBOC,6,14,5.11,3.37
5,South,TBOC,6,15,5.417,3.059
5,South,TBOC,6,16,5.251,3.416
5,South,TBOC,6,17,6.362,3.578
5,South,TBOC,6,18,5.433,4.321
5,South,TBOC,6,19,5.883,3.841
5,South,TBOC,6,20,5.467,3.458
5,South,TBOC,7,1,6.094,3.575
5,South,TBOC,7,2,6.426,3.753
5,South,TBOC,7,3,5.317,3.426
5,South,TBOC,7,4,5.307,3.331
5,South,TBOC,7,5,3.711,3.259
5,South,TBOC,7,6,4.936,3.721
5,South,TBOC,7,7,4.116,3.115
5,South,TBOC,7,8,6.595,3.558
5,South,TBOC,7,9,4.949,3.38
5,South,TBOC,7,10,5.806,3.325
5,South,TBOC,7,11,4.44,2.584
5,South,TBOC,7,12,4.05,3.056
5,South,TBOC,7,13,4.427,2.809
5,South,TBOC,7,14,6.517,3.788
5,South,TBOC,7,15,6.944,3.768
5,South,TBOC,7,16,4.585,3.506
5,South,TBOC,7,17,4.136,2.34
5,South,TBOC,7,18,3.52,2.676
5,South,TBOC,7,19,4.271,2.9
5,South,TBOC,7,20,3.865,2.948
5,South,TBOC,8,1,4.626,2.815
5,South,TBOC,8,2,6.686,2.825
5,South,TBOC,8,3,5.034,3.366
5,South,TBOC,8,4,3.937,3.327
5,South,TBOC,8,5,4.342,2.868
5,South,TBOC,8,6,4.446,2.703
5,South,TBOC,8,7,3.365,2.136
5,South,TBOC,8,8,6.044,3.365
5,South,TBOC,8,9,4.991,3.433
5,South,TBOC,8,10,6.374,3.272
5,South,TBOC,8,11,5.464,3.101
5,South,TBOC,8,12,5.562,3.217
5,South,TBOC,8,13,3.207,2.638
5,South,TBOC,8,14,3.649,2.159
5,South,TBOC,8,15,4.803,2.44
5,South,TBOC,8,16,5.057,3.087
5,South,TBOC,8,17,4.995,3.528
5,South,TBOC,8,18,5.397,3.237
5,South,TBOC,8,19,3.585,2.077
5,South,TBOC,8,20,4.542,3.165
