Sampling_Time,Site,Location,Bag,Rep,L_W,Size_cm
1,North,HIOC,3,5,L,4.528
1,North,HIOC,3,5,W,3.166
1,North,HIOC,3,6,L,4.394
1,North,HIOC,3,6,W,3.306
1,North,HIOC,3,7,L,4.171
1,North,HIOC,3,7,W,2.972
1,North,HIOC,3,8,L,5.221
1,North,HIOC,3,8,W,3.102
1,North,HIOC,3,9,L,3.759
1,North,HIOC,3,9,W,2.476
1,North,HIOC,3,10,L,4.318
1,North,HIOC,3,10,W,3.335
1,North,HIOC,3,11,L,4.45
1,North,HIOC,3,11,W,3.149
1,North,HIOC,3,12,L,4.173
1,North,HIOC,3,12,W,2.392
1,North,HIOC,3,13,L,3.789
1,North,HIOC,3,13,W,2.771
1,North,HIOC,3,14,L,4.67
1,North,HIOC,3,14,W,3.159
1,North,HIOC,3,15,L,3.321
1,North,HIOC,3,15,W,2.667
1,North,HIOC,3,16,L,3.399
1,North,HIOC,3,16,W,2.473
1,North,HIOC,3,17,L,4.524
1,North,HIOC,3,17,W,3.115
1,North,HIOC,3,18,L,4.514
1,North,HIOC,3,18,W,3.063
1,North,HIOC,3,19,L,3.838
1,North,HIOC,3,19,W,2.732
1,North,HIOC,3,20,L,4.165
1,North,HIOC,3,20,W,2.416
1,North,HIOC,4,1,L,5.021
1,North,HIOC,4,1,W,2.984
1,North,HIOC,4,2,L,3.35
1,North,HIOC,4,2,W,2.498
1,North,HIOC,4,3,L,4.931
1,North,HIOC,4,3,W,3.448
1,North,HIOC,4,4,L,4.06
1,North,HIOC,4,4,W,2.962
1,North,HIOC,4,5,L,3.924
1,North,HIOC,4,5,W,2.226
1,North,HIOC,4,6,L,4.211
1,North,HIOC,4,6,W,2.88
1,North,HIOC,4,7,L,4.186
1,North,HIOC,4,7,W,2.827
1,North,HIOC,4,8,L,4.533
1,North,HIOC,4,8,W,3.144
1,North,HIOC,4,9,L,3.892
1,North,HIOC,4,9,W,2.817
1,North,HIOC,4,10,L,4.164
1,North,HIOC,4,10,W,2.386
1,North,HIOC,4,11,L,4.651
1,North,HIOC,4,11,W,2.513
1,North,HIOC,4,12,L,3.942
1,North,HIOC,4,12,W,2.733
1,North,HIOC,4,13,L,3.41
1,North,HIOC,4,13,W,2.694
1,North,HIOC,4,14,L,3.791
1,North,HIOC,4,14,W,2.767
1,North,HIOC,4,15,L,4.348
1,North,HIOC,4,15,W,2.744
1,North,HIOC,4,16,L,4.295
1,North,HIOC,4,16,W,2.577
1,North,HIOC,4,17,L,4.226
1,North,HIOC,4,17,W,2.65
1,North,HIOC,4,18,L,4.262
1,North,HIOC,4,18,W,2.335
1,North,HIOC,4,19,L,4.506
1,North,HIOC,4,19,W,2.474
1,North,HIOC,4,20,L,4.013
1,North,HIOC,4,20,W,2.738
5,North,HIOC,1,1,L,6.945
5,North,HIOC,1,1,W,3.817
5,North,HIOC,1,2,L,6.669
5,North,HIOC,1,2,W,2.636
5,North,HIOC,1,3,L,5.385
5,North,HIOC,1,3,W,3.567
5,North,HIOC,1,4,L,5.761
5,North,HIOC,1,4,W,3.614
5,North,HIOC,1,5,L,5.023
5,North,HIOC,1,5,W,4.749
5,North,HIOC,1,6,L,6.294
5,North,HIOC,1,6,W,3.944
5,North,HIOC,1,7,L,5.363
5,North,HIOC,1,7,W,3.186
5,North,HIOC,1,8,L,4.842
5,North,HIOC,1,8,W,3.425
5,North,HIOC,1,9,L,4.348
5,North,HIOC,1,9,W,2.777
5,North,HIOC,1,10,L,5.867
5,North,HIOC,1,10,W,3.772
5,North,HIOC,1,11,L,5.493
5,North,HIOC,1,11,W,3.3
5,North,HIOC,1,12,L,5.241
5,North,HIOC,1,12,W,2.849
5,North,HIOC,1,13,L,4.958
5,North,HIOC,1,13,W,3.545
5,North,HIOC,1,14,L,5.847
5,North,HIOC,1,14,W,3.419
5,North,HIOC,1,15,L,4.91
5,North,HIOC,1,15,W,2.795
5,North,HIOC,1,16,L,6.385
5,North,HIOC,1,16,W,3.236
5,North,HIOC,1,17,L,5.405
5,North,HIOC,1,17,W,3.141
5,North,HIOC,1,18,L,6.437
5,North,HIOC,1,18,W,3.799
5,North,HIOC,1,19,L,5.627
5,North,HIOC,1,19,W,3.295
5,North,HIOC,1,20,L,4.863
5,North,HIOC,1,20,W,4.078
5,North,HIOC,2,1,L,4.81
5,North,HIOC,2,1,W,3.731
5,North,HIOC,2,2,L,3.904
5,North,HIOC,2,2,W,3.172
5,North,HIOC,2,3,L,4.495
5,North,HIOC,2,3,W,3.494
5,North,HIOC,2,4,L,6.007
5,North,HIOC,2,4,W,3.663
5,North,HIOC,2,5,L,4.854
5,North,HIOC,2,5,W,3.641
5,North,HIOC,2,6,L,5.685
5,North,HIOC,2,6,W,4.707
5,North,HIOC,2,7,L,5.901
5,North,HIOC,2,7,W,3.751
5,North,HIOC,2,8,L,6.113
5,North,HIOC,2,8,W,4.118
5,North,HIOC,2,9,L,4.568
5,North,HIOC,2,9,W,2.719
5,North,HIOC,2,10,L,5.886
5,North,HIOC,2,10,W,3.887
5,North,HIOC,2,11,L,5.506
5,North,HIOC,2,11,W,3.328
5,North,HIOC,2,12,L,4.293
5,North,HIOC,2,12,W,3.365
5,North,HIOC,2,13,L,4.075
5,North,HIOC,2,13,W,2.903
5,North,HIOC,2,14,L,4.899
5,North,HIOC,2,14,W,3.07
5,North,HIOC,2,15,L,4.901
5,North,HIOC,2,15,W,3.35
5,North,HIOC,2,16,L,4.821
5,North,HIOC,2,16,W,3.056
5,North,HIOC,2,17,L,5.192
5,North,HIOC,2,17,W,3.063
5,North,HIOC,2,18,L,6.2
5,North,HIOC,2,18,W,3.012
5,North,HIOC,2,19,L,7.035
5,North,HIOC,2,19,W,3.468
5,North,HIOC,2,20,L,5.978
5,North,HIOC,2,20,W,3.397
5,North,HIOC,3,1,L,5.69
5,North,HIOC,3,1,W,3.704
5,North,HIOC,3,2,L,4.873
5,North,HIOC,3,2,W,2.75
5,North,HIOC,3,3,L,4.386
5,North,HIOC,3,3,W,3.941
5,North,HIOC,3,4,L,5.75
5,North,HIOC,3,4,W,3.412
5,North,HIOC,3,5,L,6.34
5,North,HIOC,3,5,W,3.684
5,North,HIOC,3,6,L,5.681
5,North,HIOC,3,6,W,3.253
5,North,HIOC,3,7,L,5.654
5,North,HIOC,3,7,W,4.31
5,North,HIOC,3,8,L,4.316
5,North,HIOC,3,8,W,2.432
5,North,HIOC,3,9,L,5.433
5,North,HIOC,3,9,W,4.117
5,North,HIOC,3,10,L,6.726
5,North,HIOC,3,10,W,4.047
5,North,HIOC,3,11,L,6.182
5,North,HIOC,3,11,W,3.886
5,North,HIOC,3,12,L,5.811
5,North,HIOC,3,12,W,4.319
5,North,HIOC,3,13,L,2.979
5,North,HIOC,3,13,W,1.97
5,North,HIOC,3,14,L,5.821
5,North,HIOC,3,14,W,2.706
5,North,HIOC,3,15,L,6.193
5,North,HIOC,3,15,W,4.141
5,North,HIOC,3,16,L,5.545
5,North,HIOC,3,16,W,3.393
5,North,HIOC,3,17,L,7.048
5,North,HIOC,3,17,W,3.295
5,North,HIOC,3,18,L,6.275
5,North,HIOC,3,18,W,3.033
5,North,HIOC,3,19,L,5.663
5,North,HIOC,3,19,W,3.273
5,North,HIOC,3,20,L,4.556
5,North,HIOC,3,20,W,2.6
5,North,HIOC,4,1,L,3.329
5,North,HIOC,4,1,W,2.306
5,North,HIOC,4,2,L,5.978
5,North,HIOC,4,2,W,3.147
5,North,HIOC,4,3,L,6.299
5,North,HIOC,4,3,W,4.124
5,North,HIOC,4,4,L,6.483
5,North,HIOC,4,4,W,3.511
5,North,HIOC,4,5,L,5.212
5,North,HIOC,4,5,W,3.789
5,North,HIOC,4,6,L,5.72
5,North,HIOC,4,6,W,3.966
5,North,HIOC,4,7,L,5.547
5,North,HIOC,4,7,W,3.671
5,North,HIOC,4,8,L,3.876
5,North,HIOC,4,8,W,2.21
5,North,HIOC,4,9,L,7.177
5,North,HIOC,4,9,W,3.557
5,North,HIOC,4,10,L,6.051
5,North,HIOC,4,10,W,3.287
5,North,HIOC,4,11,L,5.035
5,North,HIOC,4,11,W,3.15
5,North,HIOC,4,12,L,5.477
5,North,HIOC,4,12,W,2.967
5,North,HIOC,4,13,L,6.507
5,North,HIOC,4,13,W,3.171
5,North,HIOC,4,14,L,5.507
5,North,HIOC,4,14,W,3.02
5,North,HIOC,4,15,L,4.582
5,North,HIOC,4,15,W,3.216
5,North,HIOC,4,16,L,4.802
5,North,HIOC,4,16,W,2.65
5,North,HIOC,4,17,L,5.869
5,North,HIOC,4,17,W,2.989
5,North,HIOC,4,18,L,5.107
5,North,HIOC,4,18,W,3.218
5,North,HIOC,4,19,L,6.023
5,North,HIOC,4,19,W,3.071
5,North,HIOC,4,20,L,6.159
5,North,HIOC,4,20,W,3.661
1,South,TBOC,5,1,L,4.07
1,South,TBOC,5,1,W,2.555
1,South,TBOC,5,2,L,3.466
1,South,TBOC,5,2,W,2.656
1,South,TBOC,5,3,L,3.981
1,South,TBOC,5,3,W,2.269
1,South,TBOC,5,4,L,4.607
1,South,TBOC,5,4,W,2.905
1,South,TBOC,5,5,L,4.195
1,South,TBOC,5,5,W,3.475
1,South,TBOC,5,6,L,4.947
1,South,TBOC,5,6,W,2.99
1,South,TBOC,5,7,L,3.327
1,South,TBOC,5,7,W,2.244
1,South,TBOC,5,8,L,4.395
1,South,TBOC,5,8,W,2.367
1,South,TBOC,5,9,L,4.252
1,South,TBOC,5,9,W,2.364
1,South,TBOC,5,10,L,4.43
1,South,TBOC,5,10,W,3.123
1,South,TBOC,5,11,L,2.56
1,South,TBOC,5,11,W,1.956
1,South,TBOC,5,12,L,3.602
1,South,TBOC,5,12,W,2.547
1,South,TBOC,5,13,L,5.203
1,South,TBOC,5,13,W,2.679
1,South,TBOC,5,14,L,4.763
1,South,TBOC,5,14,W,2.678
1,South,TBOC,5,15,L,4.098
1,South,TBOC,5,15,W,2.918
1,South,TBOC,5,16,L,3.843
1,South,TBOC,5,16,W,3.149
1,South,TBOC,5,17,L,3.492
1,South,TBOC,5,17,W,2.763
1,South,TBOC,5,18,L,3.218
1,South,TBOC,5,18,W,2.228
1,South,TBOC,5,19,L,4.901
1,South,TBOC,5,19,W,2.673
1,South,TBOC,5,20,L,3.308
1,South,TBOC,5,20,W,2.501
1,South,TBOC,6,1,L,4.446
1,South,TBOC,6,1,W,2.734
1,South,TBOC,6,2,L,4.73
1,South,TBOC,6,2,W,2.868
1,South,TBOC,6,3,L,4.267
1,South,TBOC,6,3,W,3.146
1,South,TBOC,6,4,L,5.345
1,South,TBOC,6,4,W,2.372
1,South,TBOC,6,5,L,4.51
1,South,TBOC,6,5,W,3.729
1,South,TBOC,6,6,L,3.057
1,South,TBOC,6,6,W,2.406
1,South,TBOC,6,7,L,4.559
1,South,TBOC,6,7,W,2.186
1,South,TBOC,6,8,L,4.256
1,South,TBOC,6,8,W,2.41
1,South,TBOC,6,9,L,4.293
1,South,TBOC,6,9,W,3.283
1,South,TBOC,6,10,L,4.188
1,South,TBOC,6,10,W,3.301
1,South,TBOC,6,11,L,3.647
1,South,TBOC,6,11,W,2.393
1,South,TBOC,6,12,L,3.103
1,South,TBOC,6,12,W,3.988
1,South,TBOC,6,13,L,4.951
1,South,TBOC,6,13,W,3.342
1,South,TBOC,6,14,L,4.571
1,South,TBOC,6,14,W,3.022
1,South,TBOC,6,15,L,4.359
1,South,TBOC,6,15,W,2.74
1,South,TBOC,6,16,L,3.817
1,South,TBOC,6,16,W,2.792
1,South,TBOC,6,17,L,4.28
1,South,TBOC,6,17,W,3.832
1,South,TBOC,6,18,L,4.662
1,South,TBOC,6,18,W,2.026
1,South,TBOC,6,19,L,4.805
1,South,TBOC,6,19,W,3.073
1,South,TBOC,6,20,L,4.476
1,South,TBOC,6,20,W,3.193
1,South,TBOC,7,1,L,5.44
1,South,TBOC,7,1,W,2.516
1,South,TBOC,7,2,L,4.181
1,South,TBOC,7,2,W,3.463
1,South,TBOC,7,3,L,3.472
1,South,TBOC,7,3,W,3.775
1,South,TBOC,7,4,L,4.371
1,South,TBOC,7,4,W,2.783
1,South,TBOC,7,5,L,4.976
1,South,TBOC,7,5,W,2.507
1,South,TBOC,7,6,L,4.018
1,South,TBOC,7,6,W,3.181
1,South,TBOC,7,7,L,3.596
1,South,TBOC,7,7,W,2.794
1,South,TBOC,7,8,L,4.853
1,South,TBOC,7,8,W,2.564
1,South,TBOC,7,9,L,3.739
1,South,TBOC,7,9,W,2.884
1,South,TBOC,7,10,L,3.823
1,South,TBOC,7,10,W,2.407
1,South,TBOC,7,11,L,5.161
1,South,TBOC,7,11,W,2.681
1,South,TBOC,7,12,L,3.825
1,South,TBOC,7,12,W,2.746
1,South,TBOC,7,13,L,4.48
1,South,TBOC,7,13,W,2.712
1,South,TBOC,7,14,L,5.475
1,South,TBOC,7,14,W,3.208
1,South,TBOC,7,15,L,4.11
1,South,TBOC,7,15,W,3.669
1,South,TBOC,7,16,L,3.601
1,South,TBOC,7,16,W,2.748
1,South,TBOC,7,17,L,5.355
1,South,TBOC,7,17,W,2.601
1,South,TBOC,7,18,L,4.514
1,South,TBOC,7,18,W,3.939
1,South,TBOC,7,19,L,3.403
1,South,TBOC,7,19,W,2.063
1,South,TBOC,7,20,L,4.125
1,South,TBOC,7,20,W,3.807
1,South,TBOC,8,1,L,4.729
1,South,TBOC,8,1,W,2.555
1,South,TBOC,8,2,L,5.06
1,South,TBOC,8,2,W,3.403
1,South,TBOC,8,3,L,4.635
1,South,TBOC,8,3,W,3.358
1,South,TBOC,8,4,L,4.203
1,South,TBOC,8,4,W,2.945
1,South,TBOC,8,5,L,4.153
1,South,TBOC,8,5,W,2.979
1,South,TBOC,8,6,L,5.036
1,South,TBOC,8,6,W,2.754
1,South,TBOC,8,7,L,4.503
1,South,TBOC,8,7,W,2.976
1,South,TBOC,8,8,L,3.877
1,South,TBOC,8,8,W,3.013
1,South,TBOC,8,9,L,4.683
1,South,TBOC,8,9,W,2.719
1,South,TBOC,8,10,L,4.397
1,South,TBOC,8,10,W,2.802
1,South,TBOC,8,11,L,4.698
1,South,TBOC,8,11,W,2.494
1,South,TBOC,8,12,L,4.114
1,South,TBOC,8,12,W,3.779
1,South,TBOC,8,13,L,3.379
1,South,TBOC,8,13,W,2.481
1,South,TBOC,8,14,L,5.553
1,South,TBOC,8,14,W,3.27
1,South,TBOC,8,15,L,3.991
1,South,TBOC,8,15,W,2.739
1,South,TBOC,8,16,L,3.975
1,South,TBOC,8,16,W,2.826
1,South,TBOC,8,17,L,4.043
1,South,TBOC,8,17,W,2.936
1,South,TBOC,8,18,L,5.358
1,South,TBOC,8,18,W,2.916
1,South,TBOC,8,19,L,3.545
1,South,TBOC,8,19,W,2.784
1,South,TBOC,8,20,L,4.683
1,South,TBOC,8,20,W,3.246
5,South,TBOC,5,1,L,5.45
5,South,TBOC,5,1,W,3.384
5,South,TBOC,5,2,L,6.837
5,South,TBOC,5,2,W,4
5,South,TBOC,5,3,L,5.702
5,South,TBOC,5,3,W,3.866
5,South,TBOC,5,4,L,5.77
5,South,TBOC,5,4,W,4.257
5,South,TBOC,5,5,L,5.988
5,South,TBOC,5,5,W,3.34
5,South,TBOC,5,6,L,5.35
5,South,TBOC,5,6,W,3.867
5,South,TBOC,5,7,L,6.348
5,South,TBOC,5,7,W,2.775
5,South,TBOC,5,8,L,5.183
5,South,TBOC,5,8,W,3.786
5,South,TBOC,5,9,L,4.523
5,South,TBOC,5,9,W,2.759
5,South,TBOC,5,10,L,6.883
5,South,TBOC,5,10,W,3.017
5,South,TBOC,5,11,L,6.647
5,South,TBOC,5,11,W,3.999
5,South,TBOC,5,12,L,5.544
5,South,TBOC,5,12,W,2.682
5,South,TBOC,5,13,L,4.582
5,South,TBOC,5,13,W,2.98
5,South,TBOC,5,14,L,5.073
5,South,TBOC,5,14,W,2.702
5,South,TBOC,5,15,L,4.898
5,South,TBOC,5,15,W,3.292
5,South,TBOC,5,16,L,4.782
5,South,TBOC,5,16,W,3.093
5,South,TBOC,5,17,L,5.784
5,South,TBOC,5,17,W,3.287
5,South,TBOC,5,18,L,5.916
5,South,TBOC,5,18,W,3.397
5,South,TBOC,5,19,L,5.825
5,South,TBOC,5,19,W,3.687
5,South,TBOC,5,20,L,5.742
5,South,TBOC,5,20,W,2.804
5,South,TBOC,6,1,L,5.42
5,South,TBOC,6,1,W,3.35
5,South,TBOC,6,2,L,3.965
5,South,TBOC,6,2,W,3.392
5,South,TBOC,6,3,L,6.47
5,South,TBOC,6,3,W,3.86
5,South,TBOC,6,4,L,4.617
5,South,TBOC,6,4,W,3.748
5,South,TBOC,6,5,L,5.038
5,South,TBOC,6,5,W,4.079
5,South,TBOC,6,6,L,5.337
5,South,TBOC,6,6,W,4.341
5,South,TBOC,6,7,L,3.999
5,South,TBOC,6,7,W,3.464
5,South,TBOC,6,8,L,5.605
5,South,TBOC,6,8,W,2.441
5,South,TBOC,6,9,L,5.753
5,South,TBOC,6,9,W,3.035
5,South,TBOC,6,10,L,4.439
5,South,TBOC,6,10,W,3.436
5,South,TBOC,6,11,L,4.974
5,South,TBOC,6,11,W,3.502
5,South,TBOC,6,12,L,5.508
5,South,TBOC,6,12,W,3.148
5,South,TBOC,6,13,L,7.162
5,South,TBOC,6,13,W,4.35
5,South,TBOC,6,14,L,5.11
5,South,TBOC,6,14,W,3.37
5,South,TBOC,6,15,L,5.417
5,South,TBOC,6,15,W,3.059
5,South,TBOC,6,16,L,5.251
5,South,TBOC,6,16,W,3.416
5,South,TBOC,6,17,L,6.362
5,South,TBOC,6,17,W,3.578
5,South,TBOC,6,18,L,5.433
5,South,TBOC,6,18,W,4.321
5,South,TBOC,6,19,L,5.883
5,South,TBOC,6,19,W,3.841
5,South,TBOC,6,20,L,5.467
5,South,TBOC,6,20,W,3.458
5,South,TBOC,7,1,L,6.094
5,South,TBOC,7,1,W,3.575
5,South,TBOC,7,2,L,6.426
5,South,TBOC,7,2,W,3.753
5,South,TBOC,7,3,L,5.317
5,South,TBOC,7,3,W,3.426
5,South,TBOC,7,4,L,5.307
5,South,TBOC,7,4,W,3.331
5,South,TBOC,7,5,L,3.711
5,South,TBOC,7,5,W,3.259
5,South,TBOC,7,6,L,4.936
5,South,TBOC,7,6,W,3.721
5,South,TBOC,7,7,L,4.116
5,South,TBOC,7,7,W,3.115
5,South,TBOC,7,8,L,6.595
5,South,TBOC,7,8,W,3.558
5,South,TBOC,7,9,L,4.949
5,South,TBOC,7,9,W,3.38
5,South,TBOC,7,10,L,5.806
5,South,TBOC,7,10,W,3.325
5,South,TBOC,7,11,L,4.44
5,South,TBOC,7,11,W,2.584
5,South,TBOC,7,12,L,4.05
5,South,TBOC,7,12,W,3.056
5,South,TBOC,7,13,L,4.427
5,South,TBOC,7,13,W,2.809
5,South,TBOC,7,14,L,6.517
5,South,TBOC,7,14,W,3.788
5,South,TBOC,7,15,L,6.944
5,South,TBOC,7,15,W,3.768
5,South,TBOC,7,16,L,4.585
5,South,TBOC,7,16,W,3.506
5,South,TBOC,7,17,L,4.136
5,South,TBOC,7,17,W,2.34
5,South,TBOC,7,18,L,3.52
5,South,TBOC,7,18,W,2.676
5,South,TBOC,7,19,L,4.271
5,South,TBOC,7,19,W,2.9
5,South,TBOC,7,20,L,3.865
5,South,TBOC,7,20,W,2.948
5,South,TBOC,8,1,L,4.626
5,South,TBOC,8,1,W,2.815
5,South,TBOC,8,2,L,6.686
5,South,TBOC,8,2,W,2.825
5,South,TBOC,8,3,L,5.034
5,South,TBOC,8,3,W,3.366
5,South,TBOC,8,4,L,3.937
5,South,TBOC,8,4,W,3.327
5,South,TBOC,8,5,L,4.342
5,South,TBOC,8,5,W,2.868
5,South,TBOC,8,6,L,4.446
5,South,TBOC,8,6,W,2.703
5,South,TBOC,8,7,L,3.365
5,South,TBOC,8,7,W,2.136
5,South,TBOC,8,8,L,6.044
5,South,TBOC,8,8,W,3.365
5,South,TBOC,8,9,L,4.991
5,South,TBOC,8,9,W,3.433
5,South,TBOC,8,10,L,6.374
5,South,TBOC,8,10,W,3.272
5,South,TBOC,8,11,L,5.464
5,South,TBOC,8,11,W,3.101
5,South,TBOC,8,12,L,5.562
5,South,TBOC,8,12,W,3.217
5,South,TBOC,8,13,L,3.207
5,South,TBOC,8,13,W,2.638
5,South,TBOC,8,14,L,3.649
5,South,TBOC,8,14,W,2.159
5,South,TBOC,8,15,L,4.803
5,South,TBOC,8,15,W,2.44
5,South,TBOC,8,16,L,5.057
5,South,TBOC,8,16,W,3.087
5,South,TBOC,8,17,L,4.995
5,South,TBOC,8,17,W,3.528
5,South,TBOC,8,18,L,5.397
5,South,TBOC,8,18,W,3.237
5,South,TBOC,8,19,L,3.585
5,South,TBOC,8,19,W,2.077
5,South,TBOC,8,20,L,4.542
5,South,TBOC,8,20,W,3.165
