Year,Type,Sampling_Period,Date,Site,Location,Rep,O_665,O_750,A_665,A_750,Chl_a
2021,Benthic,3,23-Aug-21,Middle,BBOC,5,0.401,0.007,0.387,0.003,1.97046
2021,Benthic,3,23-Aug-21,Middle,BBOC,6,0.287,0.004,0.219,0.003,13.202082
2021,Benthic,3,23-Aug-21,Middle,BBOC,7,0.291,0.004,0.277,0.002,2.364552
2021,Benthic,3,23-Aug-21,Middle,BBOC,8,0.41,0.003,0.378,0.002,6.108426
2021,Benthic,3,23-Aug-21,Middle,BBOC,9,0.244,0.004,0.221,0.002,4.137966
2021,Benthic,4,6-Sep-21,Middle,BBOC,1,0.221,0.003,0.201,0.002,3.743874
2021,Benthic,4,6-Sep-21,Middle,BBOC,2,0.342,0.007,0.282,0.005,11.428668
2021,Benthic,4,6-Sep-21,Middle,BBOC,3,0.441,0.011,0.387,0.008,10.049346
2021,Benthic,4,6-Sep-21,Middle,BBOC,4,0.287,0.01,0.274,0.008,2.167506
2021,Benthic,4,6-Sep-21,Middle,BBOC,5,0.413,0.008,0.379,0.007,6.502518
2021,Benthic,4,6-Sep-21,Middle,BBOC,6,0.312,0.007,0.262,0.006,9.655254
2021,Benthic,4,6-Sep-21,Middle,BBOC,7,0.291,0.008,0.252,0.005,7.093656
2021,Benthic,4,6-Sep-21,Middle,BBOC,8,0.243,0.006,0.222,0.004,3.743874
2021,Benthic,4,6-Sep-21,Middle,BBOC,9,0.244,0.008,0.198,0.003,8.078886
2021,Benthic,5,1-Dec-21,Middle,BBOC,1,0.19,0.004,0.178,0.002,1.97046
2021,Benthic,5,1-Dec-21,Middle,BBOC,2,0.21,0.007,0.194,0.004,2.561598
2021,Benthic,5,1-Dec-21,Middle,BBOC,3,0.301,0.008,0.289,0.003,1.379322
2021,Benthic,5,1-Dec-21,Middle,BBOC,4,0.287,0.002,0.273,0.002,2.758644
2021,Benthic,5,1-Dec-21,Middle,BBOC,5,0.243,0.004,0.225,0.001,2.95569
2021,Benthic,5,1-Dec-21,Middle,BBOC,6,0.227,0.003,0.218,0.002,1.576368
2021,Benthic,5,1-Dec-21,Middle,BBOC,7,0.218,0.005,0.201,0.001,2.561598
2021,Benthic,5,1-Dec-21,Middle,BBOC,8,0.239,0.003,0.231,0.002,1.379322
2021,Benthic,5,1-Dec-21,Middle,BBOC,9,0.222,0.002,0.202,0.001,3.743874
2021,Benthic,1,23-Jul-21,North,HIOC,1,0.211,0.01,0.188,0.009,4.335012
2021,Benthic,1,23-Jul-21,North,HIOC,2,0.116,0.009,0.096,0.005,3.152736
2021,Benthic,1,23-Jul-21,North,HIOC,3,0.159,0.008,0.146,0.006,2.167506
2021,Benthic,1,23-Jul-21,North,HIOC,4,0.113,0.002,0.091,0.001,4.137966
2021,Benthic,1,23-Jul-21,North,HIOC,5,0.114,0.004,0.093,0.002,3.743874
2021,Benthic,1,23-Jul-21,North,HIOC,6,0.167,0.003,0.137,0.001,5.517288
2021,Benthic,1,23-Jul-21,North,HIOC,7,0.113,0.001,0.107,0.001,1.182276
2021,Benthic,1,23-Jul-21,North,HIOC,8,0.143,0.005,0.119,0.004,4.532058
2021,Benthic,1,23-Jul-21,North,HIOC,9,0.132,0.003,0.117,0.003,2.95569
2021,Benthic,2,9-Aug-21,North,HIOC,1,0.3,0.007,0.262,0.004,6.89661
2021,Benthic,2,9-Aug-21,North,HIOC,2,0.214,0.004,0.195,0.001,3.152736
2021,Benthic,2,9-Aug-21,North,HIOC,3,0.312,0.005,0.301,0.002,1.576368
2021,Benthic,2,9-Aug-21,North,HIOC,4,0.223,0.005,0.205,0.005,3.546828
2021,Benthic,2,9-Aug-21,North,HIOC,5,0.287,0.002,0.268,0.001,3.546828
2021,Benthic,2,9-Aug-21,North,HIOC,6,0.291,0.003,0.268,0.001,4.137966
2021,Benthic,2,9-Aug-21,North,HIOC,7,0.412,0.005,0.357,0.003,10.443438
2021,Benthic,2,9-Aug-21,North,HIOC,8,0.211,0.002,0.197,0.002,2.758644
2021,Benthic,2,9-Aug-21,North,HIOC,9,0.321,0.002,0.311,0.001,1.773414
2021,Benthic,3,20-Aug-21,North,HIOC,1,0.321,0.008,0.282,0.005,7.093656
2021,Benthic,3,24-Aug-21,North,HIOC,1,0.297,0.001,0.27,0,5.123196
2021,Benthic,3,24-Aug-21,North,HIOC,2,0.299,0.001,0.219,0.001,15.76368
2021,Benthic,3,24-Aug-21,North,HIOC,3,0.214,0.013,0.191,0.008,3.546828
2021,Benthic,3,24-Aug-21,North,HIOC,4,0.198,0.003,0.174,0.001,4.335012
2021,Benthic,3,24-Aug-21,North,HIOC,5,0.345,0.005,0.313,0.002,5.714334
2021,Benthic,3,24-Aug-21,North,HIOC,6,0.357,0.007,0.34,0.004,2.758644
2021,Benthic,3,24-Aug-21,North,HIOC,7,0.401,0.008,0.378,0.003,3.546828
2021,Benthic,3,24-Aug-21,North,HIOC,8,0.321,0.007,0.309,0.005,1.97046
2021,Benthic,3,24-Aug-21,North,HIOC,9,0.247,0.007,0.21,0.004,6.699564
2021,Benthic,4,7-Sep-21,North,HIOC,1,0.212,0.003,0.181,0.002,5.91138
2021,Benthic,4,7-Sep-21,North,HIOC,2,0.298,0.005,0.242,0.003,10.640484
2021,Benthic,4,7-Sep-21,North,HIOC,3,0.301,0.003,0.267,0.001,6.305472
2021,Benthic,4,7-Sep-21,North,HIOC,4,0.402,0.006,0.392,0.005,1.773414
2021,Benthic,4,7-Sep-21,North,HIOC,5,0.416,0.003,0.372,0.002,8.472978
2021,Benthic,4,7-Sep-21,North,HIOC,6,0.399,0.003,0.378,0.001,3.743874
2021,Benthic,4,7-Sep-21,North,HIOC,7,0.32,0.007,0.301,0.004,3.152736
2021,Benthic,4,7-Sep-21,North,HIOC,8,0.318,0.002,0.268,0.002,9.8523
2021,Benthic,4,7-Sep-21,North,HIOC,9,0.281,0.002,0.248,0.001,6.305472
2021,Benthic,5,1-Dec-21,North,HIOC,1,0.197,0.004,0.187,0.001,1.379322
2021,Benthic,5,1-Dec-21,North,HIOC,2,0.218,0.003,0.207,0.002,1.97046
2021,Benthic,5,1-Dec-21,North,HIOC,3,0.181,0.004,0.175,0.004,1.182276
2021,Benthic,5,1-Dec-21,North,HIOC,4,0.131,0.003,0.114,0.002,3.152736
2021,Benthic,5,1-Dec-21,North,HIOC,5,0.141,0.004,0.132,0.003,1.576368
2021,Benthic,5,1-Dec-21,North,HIOC,6,0.153,0.004,0.141,0.002,1.97046
2021,Benthic,5,1-Dec-21,North,HIOC,7,0.164,0.002,0.145,0.001,3.546828
2021,Benthic,5,1-Dec-21,North,HIOC,8,0.221,0.001,0.211,0.002,2.167506
2021,Benthic,5,1-Dec-21,North,HIOC,9,0.14,0.001,0.128,0,2.167506
2021,Benthic,1,26-Jul-21,South,TBOC,1,0.141,0.001,0.12,0,3.94092
2021,Benthic,1,26-Jul-21,South,TBOC,2,0.101,0.009,0.079,0.008,4.137966
2021,Benthic,1,26-Jul-21,South,TBOC,3,0.098,0.003,0.084,0.001,2.364552
2021,Benthic,1,26-Jul-21,South,TBOC,4,0.129,0.002,0.101,0.002,5.517288
2021,Benthic,1,26-Jul-21,South,TBOC,5,0.121,0.001,0.111,0.001,1.97046
2021,Benthic,1,26-Jul-21,South,TBOC,6,0.132,0.004,0.111,0.002,3.743874
2021,Benthic,1,26-Jul-21,South,TBOC,7,0.142,0.004,0.131,0.003,1.97046
2021,Benthic,1,26-Jul-21,South,TBOC,8,0.147,0.004,0.129,0.001,2.95569
2021,Benthic,1,26-Jul-21,South,TBOC,9,0.129,0.005,0.119,0.001,1.182276
2021,Benthic,2,6-Aug-21,South,TBOC,1,0.219,0.009,0.201,0.004,2.561598
2021,Benthic,2,6-Aug-21,South,TBOC,2,0.209,0.011,0.168,0.009,7.684794
2021,Benthic,2,6-Aug-21,South,TBOC,3,0.278,0.004,0.269,0.002,1.379322
2021,Benthic,2,6-Aug-21,South,TBOC,4,0.198,0.006,0.181,0.002,2.561598
2021,Benthic,2,6-Aug-21,South,TBOC,5,0.212,0.003,0.2,0.002,2.167506
2021,Benthic,2,6-Aug-21,South,TBOC,6,0.2,0.007,0.18,0.002,2.95569
2021,Benthic,2,6-Aug-21,South,TBOC,7,0.176,0.002,0.166,0.001,1.773414
2021,Benthic,2,6-Aug-21,South,TBOC,8,0.189,0.001,0.171,0.001,3.546828
2021,Benthic,2,6-Aug-21,South,TBOC,9,0.192,0.008,0.189,0.005,0
2021,Benthic,3,20-Aug-21,South,TBOC,2,0.219,0.008,0.201,0.005,2.95569
2021,Benthic,3,20-Aug-21,South,TBOC,3,0.222,0.009,0.194,0.004,4.532058
2021,Benthic,3,20-Aug-21,South,TBOC,4,0.194,0.007,0.185,0.002,0.788184
2021,Benthic,3,20-Aug-21,South,TBOC,5,0.199,0.003,0.183,0.002,2.95569
2021,Benthic,3,20-Aug-21,South,TBOC,6,0.187,0.003,0.172,0.002,2.758644
2021,Benthic,3,20-Aug-21,South,TBOC,7,0.213,0.003,0.197,0.001,2.758644
2021,Benthic,3,20-Aug-21,South,TBOC,8,0.247,0.004,0.218,0.002,5.320242
2021,Benthic,3,20-Aug-21,South,TBOC,9,0.211,0.002,0.21,0.001,0
2021,Benthic,4,5-Sep-21,South,TBOC,1,0.21,0.001,0.201,0,1.576368
2021,Benthic,4,5-Sep-21,South,TBOC,2,0.176,0.005,0.161,0.004,2.758644
2021,Benthic,4,5-Sep-21,South,TBOC,3,0.189,0.007,0.171,0.003,2.758644
2021,Benthic,4,5-Sep-21,South,TBOC,4,0.321,0.003,0.308,0.002,2.364552
2021,Benthic,4,5-Sep-21,South,TBOC,5,0.249,0.008,0.238,0.004,1.379322
2021,Benthic,4,5-Sep-21,South,TBOC,6,0.189,0.002,0.179,0.001,1.773414
2021,Benthic,4,5-Sep-21,South,TBOC,7,0.199,0.001,0.175,0,4.532058
2021,Benthic,4,5-Sep-21,South,TBOC,8,0.201,0.004,0.192,0.002,1.379322
2021,Benthic,4,5-Sep-21,South,TBOC,9,0.305,0.004,0.282,0.002,4.137966
2022,Benthic,1,16-Jun-22,Middle,BBOC,1,0.215,0.009,0.192,0.005,3.743874
2022,Benthic,1,16-Jun-22,Middle,BBOC,2,0.231,0.004,0.211,0.006,4.335012
2022,Benthic,1,16-Jun-22,Middle,BBOC,3,0.197,0.007,0.178,0.004,3.152736
2022,Benthic,1,16-Jun-22,Middle,BBOC,4,0.182,0.006,0.172,0.006,1.97046
2022,Benthic,1,16-Jun-22,Middle,BBOC,5,0.116,0.005,0.093,0.005,4.532058
2022,Benthic,2,29-Jun-22,Middle,BBOC,1,0.283,0.009,0.267,0.008,2.95569
2022,Benthic,2,29-Jun-22,Middle,BBOC,2,0.166,0.008,0.147,0.007,3.546828
2022,Benthic,2,29-Jun-22,Middle,BBOC,3,0.194,0.009,0.172,0.008,4.137966
2022,Benthic,2,29-Jun-22,Middle,BBOC,4,0.198,0.004,0.172,0.003,4.92615
2022,Benthic,2,29-Jun-22,Middle,BBOC,5,0.279,0.008,0.268,0.006,1.773414
2022,Benthic,3,13-Jul-22,Middle,BBOC,1,0.246,0.009,0.221,0.007,4.532058
2022,Benthic,3,13-Jul-22,Middle,BBOC,2,0.104,0.008,0.095,0.006,1.379322
2022,Benthic,3,13-Jul-22,Middle,BBOC,3,0.138,0.003,0.114,0.003,4.729104
2022,Benthic,3,13-Jul-22,Middle,BBOC,4,0.261,0.006,0.23,0.005,5.91138
2022,Benthic,3,13-Jul-22,Middle,BBOC,5,0.117,0.003,0.083,0.002,6.502518
2022,Benthic,4,27-Jul-22,Middle,BBOC,1,0.367,0.007,0.323,0.008,8.86707
2022,Benthic,4,27-Jul-22,Middle,BBOC,2,0.292,0.004,0.272,0.003,3.743874
2022,Benthic,4,27-Jul-22,Middle,BBOC,3,0.209,0.003,0.178,0.001,5.714334
2022,Benthic,4,27-Jul-22,Middle,BBOC,4,0.379,0.002,0.339,0.003,8.078886
2022,Benthic,4,27-Jul-22,Middle,BBOC,5,0.156,0.006,0.134,0.006,4.335012
2022,Benthic,5,11-Aug-22,Middle,BBOC,1,0.408,0.007,0.376,0.008,6.502518
2022,Benthic,5,11-Aug-22,Middle,BBOC,2,0.337,0.008,0.258,0.006,15.172542
2022,Benthic,5,11-Aug-22,Middle,BBOC,3,0.124,0.002,0.107,0.002,3.349782
2022,Benthic,5,11-Aug-22,Middle,BBOC,4,0.252,0.004,0.213,0.004,7.684794
2022,Benthic,5,11-Aug-22,Middle,BBOC,5,0.21,0.002,0.189,0.001,3.94092
2022,Benthic,6,25-Aug-22,Middle,BBOC,1,0.143,0.008,0.124,0.006,3.349782
2022,Benthic,6,25-Aug-22,Middle,BBOC,2,0.156,0.008,0.128,0.008,5.517288
2022,Benthic,6,25-Aug-22,Middle,BBOC,3,0.313,0.003,0.293,0.003,3.94092
2022,Benthic,6,24-Aug-22,Middle,BBOC,4,0.27,0.007,0.24,0.004,5.320242
2022,Benthic,6,25-Aug-22,Middle,BBOC,5,0.269,0.004,0.183,0.002,16.551864
2022,Benthic,1,16-Jun-22,North,HIOC,1,0.215,0.009,0.196,0.008,3.546828
2022,Benthic,1,16-Jun-22,North,HIOC,2,0.171,0.007,0.146,0.002,3.94092
2022,Benthic,1,16-Jun-22,North,HIOC,3,0.105,0.009,0.089,0.004,2.167506
2022,Benthic,1,16-Jun-22,North,HIOC,4,0.172,0.007,0.152,0.003,3.152736
2022,Benthic,1,16-Jun-22,North,HIOC,5,0.295,0.005,0.28,0.002,2.364552
2022,Benthic,2,29-Jun-22,North,HIOC,1,0.279,0.007,0.258,0.005,3.743874
2022,Benthic,2,29-Jun-22,North,HIOC,2,0.281,0.003,0.275,0.003,1.182276
2022,Benthic,2,29-Jun-22,North,HIOC,3,0.174,0.003,0.143,0.002,5.91138
2022,Benthic,2,29-Jun-22,North,HIOC,4,0.251,0.006,0.232,0.004,3.349782
2022,Benthic,2,29-Jun-22,North,HIOC,5,0.111,0.008,0.099,0.006,1.97046
2022,Benthic,3,13-Jul-22,North,HIOC,1,0.231,0.002,0.204,0.001,5.123196
2022,Benthic,3,13-Jul-22,North,HIOC,2,0.178,0.007,0.166,0.006,2.167506
2022,Benthic,3,13-Jul-22,North,HIOC,3,0.115,0.003,0.093,0.002,4.137966
2022,Benthic,3,13-Jul-22,North,HIOC,4,0.209,0.008,0.191,0.005,2.95569
2022,Benthic,3,13-Jul-22,North,HIOC,5,0.285,0.002,0.257,0.001,5.320242
2022,Benthic,4,27-Jul-22,North,HIOC,1,0.126,0.008,0.103,0.005,3.94092
2022,Benthic,4,27-Jul-22,North,HIOC,2,0.319,0.003,0.292,0.001,4.92615
2022,Benthic,4,27-Jul-22,North,HIOC,3,0.154,0.01,0.108,0.008,8.670024
2022,Benthic,4,27-Jul-22,North,HIOC,4,0.338,0.002,0.305,0.002,6.502518
2022,Benthic,4,27-Jul-22,North,HIOC,5,0.232,0.008,0.218,0.007,2.561598
2022,Benthic,5,12-Aug-22,North,HIOC,1,0.334,0.003,0.291,0.001,8.078886
2022,Benthic,5,12-Aug-22,North,HIOC,2,0.225,0.012,0.192,0.007,5.517288
2022,Benthic,5,12-Aug-22,North,HIOC,3,0.108,0.004,0.096,0.002,1.97046
2022,Benthic,5,12-Aug-22,North,HIOC,4,0.157,0.001,0.109,0.006,10.443438
2022,Benthic,5,12-Aug-22,North,HIOC,5,0.176,0.008,0.157,0.007,3.546828
2022,Benthic,6,26-Aug-22,North,HIOC,1,0.185,0.008,0.149,0.007,6.89661
2022,Benthic,6,26-Aug-22,North,HIOC,2,0.144,0.003,0.132,0.002,2.167506
2022,Benthic,6,26-Aug-22,North,HIOC,3,0.173,0.005,0.153,0.004,3.743874
2022,Benthic,6,25-Aug-22,North,HIOC,4,0.215,0.002,0.179,0.002,7.093656
2022,Benthic,6,26-Aug-22,North,HIOC,5,0.214,0.005,0.186,0.006,5.714334
2022,Benthic,1,17-Jun-22,South,TBOC,1,0.186,0.004,0.172,0.005,2.95569
2022,Benthic,1,17-Jun-22,South,TBOC,2,0.195,0.001,0.186,0.001,1.773414
2022,Benthic,1,17-Jun-22,South,TBOC,3,0.101,0.005,0.092,0.003,1.379322
2022,Benthic,1,17-Jun-22,South,TBOC,4,0.235,0.007,0.212,0.005,4.137966
2022,Benthic,1,17-Jun-22,South,TBOC,5,0.212,0.009,0.199,0.006,1.97046
2022,Benthic,2,30-Jun-22,South,TBOC,1,0.249,0.005,0.225,0.004,4.532058
2022,Benthic,2,30-Jun-22,South,TBOC,2,0.164,0.007,0.157,0.006,1.182276
2022,Benthic,2,30-Jun-22,South,TBOC,3,0.206,0.002,0.187,0.003,3.94092
2022,Benthic,2,30-Jun-22,South,TBOC,4,0.205,0.005,0.199,0.004,0.98523
2022,Benthic,2,30-Jun-22,South,TBOC,5,0.154,0.008,0.137,0.006,2.95569
2022,Benthic,3,14-Jul-22,South,TBOC,1,0.163,0.006,0.145,0.005,3.349782
2022,Benthic,3,14-Jul-22,South,TBOC,2,0.214,0.004,0.199,0.002,2.561598
2022,Benthic,3,14-Jul-22,South,TBOC,3,0.172,0.003,0.165,0.003,1.379322
2022,Benthic,3,14-Jul-22,South,TBOC,4,0.162,0.004,0.134,0.004,5.517288
2022,Benthic,3,14-Jul-22,South,TBOC,5,0.153,0.009,0.132,0.005,3.349782
2022,Benthic,4,28-Jul-22,South,TBOC,1,0.152,0.005,0.137,0.005,2.95569
2022,Benthic,4,28-Jul-22,South,TBOC,2,0.154,0.006,0.143,0.005,1.97046
2022,Benthic,4,28-Jul-22,South,TBOC,3,0.152,0.007,0.132,0.007,3.94092
2022,Benthic,4,28-Jul-22,South,TBOC,4,0.182,0.008,0.157,0.006,4.532058
2022,Benthic,4,28-Jul-22,South,TBOC,5,0.149,0.005,0.135,0.005,2.758644
2022,Benthic,5,10-Aug-22,South,TBOC,1,0.139,0.009,0.117,0.004,3.349782
2022,Benthic,5,10-Aug-22,South,TBOC,2,0.204,0.008,0.196,0.006,1.182276
2022,Benthic,5,10-Aug-22,South,TBOC,3,0.197,0.005,0.179,0.002,2.95569
2022,Benthic,5,10-Aug-22,South,TBOC,4,0.149,0.011,0.137,0.007,1.576368
2022,Benthic,5,10-Aug-22,South,TBOC,5,0.169,0.007,0.119,0.008,10.049346
2022,Benthic,6,24-Aug-22,South,TBOC,1,0.113,0.011,0.082,0.008,5.517288
2022,Benthic,6,24-Aug-22,South,TBOC,2,0.126,0.001,0.125,0.013,2.561598
2022,Benthic,6,24-Aug-22,South,TBOC,3,0.205,0.008,0.188,0.007,3.152736
2022,Benthic,6,24-Aug-22,South,TBOC,4,0.184,0.006,0.158,0.002,4.335012
2022,Benthic,6,24-Aug-22,South,TBOC,5,0.178,0.003,0.157,0.004,4.335012
2022,Seawater,1,16-Jun-22,Middle,BBOC,1,0.142,0.002,0.138,0.004,4.2282
2022,Seawater,1,16-Jun-22,Middle,BBOC,2,0.138,0.008,0.129,0.007,5.6376
2022,Seawater,1,16-Jun-22,Middle,BBOC,3,0.148,0.002,0.142,0.001,3.5235
2022,Seawater,2,29-Jun-22,Middle,BBOC,1,0.137,0.006,0.129,0.005,4.9329
2022,Seawater,2,29-Jun-22,Middle,BBOC,2,0.125,0.004,0.116,0.001,4.2282
2022,Seawater,2,29-Jun-22,Middle,BBOC,3,0.116,0.009,0.107,0.007,4.9329
2022,Seawater,3,13-Jul-22,Middle,BBOC,1,0.094,0.008,0.087,0.007,4.2282
2022,Seawater,3,13-Jul-22,Middle,BBOC,2,0.118,0.007,0.108,0.005,5.6376
2022,Seawater,3,13-Jul-22,Middle,BBOC,3,0.186,0.006,0.177,0.004,4.9329
2022,Seawater,4,28-Jul-22,Middle,BBOC,1,0.145,0.008,0.135,0.007,6.3423
2022,Seawater,4,28-Jul-22,Middle,BBOC,2,0.114,0.011,0.105,0.013,7.7517
2022,Seawater,4,28-Jul-22,Middle,BBOC,3,0.143,0.003,0.132,0.001,6.3423
2022,Seawater,5,11-Aug-22,Middle,BBOC,1,0.108,0.007,0.103,0.008,4.2282
2022,Seawater,5,11-Aug-22,Middle,BBOC,2,0.18,0.011,0.166,0.008,7.7517
2022,Seawater,5,11-Aug-22,Middle,BBOC,3,0.2,0.013,0.184,0.005,5.6376
2022,Seawater,6,25-Aug-22,Middle,BBOC,1,0.106,0.008,0.099,0.007,4.2282
2022,Seawater,6,25-Aug-22,Middle,BBOC,2,0.113,0.008,0.103,0.007,6.3423
2022,Seawater,6,25-Aug-22,Middle,BBOC,3,0.178,0.006,0.165,0.005,8.4564
2022,Seawater,1,16-Jun-22,North,HIOC,1,0.143,0.006,0.133,0.002,4.2282
2022,Seawater,1,16-Jun-22,North,HIOC,2,0.129,0.003,0.122,0.001,3.5235
2022,Seawater,1,16-Jun-22,North,HIOC,3,0.188,0.007,0.181,0.005,3.5235
2022,Seawater,2,29-Jun-22,North,HIOC,1,0.112,0.001,0.107,0.001,3.5235
2022,Seawater,2,29-Jun-22,North,HIOC,2,0.142,0.009,0.134,0.006,3.5235
2022,Seawater,2,29-Jun-22,North,HIOC,3,0.199,0.008,0.192,0.007,4.2282
2022,Seawater,3,13-Jul-22,North,HIOC,1,0.129,0.001,0.122,0.001,4.9329
2022,Seawater,3,13-Jul-22,North,HIOC,2,0.175,0.005,0.167,0.005,5.6376
2022,Seawater,3,13-Jul-22,North,HIOC,3,0.143,0.006,0.138,0.005,2.8188
2022,Seawater,4,30-Jul-22,North,HIOC,1,0.1,0.008,0.092,0.008,5.6376
2022,Seawater,4,30-Jul-22,North,HIOC,2,0.152,0.004,0.143,0.004,6.3423
2022,Seawater,4,30-Jul-22,North,HIOC,3,0.169,0.007,0.155,0.003,7.047
2022,Seawater,5,12-Aug-22,North,HIOC,1,0.179,0.008,0.168,0.005,5.6376
2022,Seawater,5,12-Aug-22,North,HIOC,2,0.113,0.009,0.109,0.008,2.1141
2022,Seawater,5,12-Aug-22,North,HIOC,3,0.145,0.002,0.137,0.001,4.9329
2022,Seawater,6,26-Aug-22,North,HIOC,1,0.118,0.009,0.111,0.01,5.6376
2022,Seawater,6,26-Aug-22,North,HIOC,2,0.166,0.002,0.156,0.001,6.3423
2022,Seawater,6,26-Aug-22,North,HIOC,3,0.177,0.002,0.171,0.001,3.5235
2022,Seawater,1,17-Jun-22,South,TBOC,1,0.142,0.002,0.139,0.001,1.4094
2022,Seawater,1,17-Jun-22,South,TBOC,2,0.113,0.008,0.11,0.009,2.8188
2022,Seawater,1,17-Jun-22,South,TBOC,3,0.148,0.005,0.144,0.004,2.1141
2022,Seawater,2,30-Jun-22,South,TBOC,1,0.193,0.005,0.189,0.004,2.1141
2022,Seawater,2,30-Jun-22,South,TBOC,2,0.118,0.002,0.115,0.001,1.4094
2022,Seawater,2,30-Jun-22,South,TBOC,3,0.108,0.007,0.104,0.007,2.8188
2022,Seawater,3,14-Jul-22,South,TBOC,1,0.151,0.008,0.145,0.007,3.5235
2022,Seawater,3,14-Jul-22,South,TBOC,2,0.125,0.002,0.119,0.001,3.5235
2022,Seawater,3,14-Jul-22,South,TBOC,3,0.18,0.006,0.176,0.006,2.8188
2022,Seawater,4,29-Jul-22,South,TBOC,1,0.138,0.003,0.131,0.001,3.5235
2022,Seawater,4,29-Jul-22,South,TBOC,2,0.143,0.006,0.133,0.001,3.5235
2022,Seawater,4,29-Jul-22,South,TBOC,3,0.121,0.012,0.119,0.013,2.1141
2022,Seawater,5,11-Aug-22,South,TBOC,1,0.11,0.008,0.104,0.008,4.2282
2022,Seawater,5,11-Aug-22,South,TBOC,2,0.122,0.011,0.119,0.013,3.5235
2022,Seawater,5,11-Aug-22,South,TBOC,3,0.15,0.004,0.146,0.003,2.1141
2022,Seawater,6,24-Aug-22,South,TBOC,1,0.103,0.001,0.099,0,2.1141
2022,Seawater,6,24-Aug-22,South,TBOC,2,0.117,0.003,0.112,0.001,2.1141
2022,Seawater,6,24-Aug-22,South,TBOC,3,0.109,0.007,0.099,0.007,7.047
