Year,Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,6,2.892,2.042
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,7,1.447,1.697
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,8,3.189,2.027
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,9,1.906,1.63
2021,1,Middle,BBOC,M. gigas,No Tide,16,55,10,2.945,1.481
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,1,3.029,1.991
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,2,2.937,1.874
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,3,3.397,2.23
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,4,2.726,1.895
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,5,2.661,2.191
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,6,2.792,1.822
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,7,2.362,1.721
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,8,3.399,2.106
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,9,3.003,2.158
2021,1,Middle,BBOC,M. gigas,No Tide,16,56,10,3.53,2.211
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,1,3.893,2.594
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,2,3.777,2.493
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,3,3.428,3.277
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,4,3.584,2.546
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,5,3.9,2.449
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,6,4.374,3.026
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,7,3.823,2.582
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,8,3.231,2.371
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,9,3.029,2.491
2021,4,Middle,BBOC,M. gigas,No Tide,21,51,10,2.816,2.836
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,1,3.459,2.413
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,2,3.291,2.241
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,3,3.721,2.975
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,4,3.173,2.397
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,5,3.711,2.736
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,6,3.796,3.251
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,7,3.267,2.694
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,8,3.933,2.582
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,9,2.95,2.566
2021,4,Middle,BBOC,M. gigas,No Tide,21,52,10,4.161,3.017
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,1,4.395,3.018
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,2,3.466,2.645
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,3,4.391,2.542
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,4,4.49,3.092
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,5,3.901,2.56
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,6,4.709,3.361
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,7,2.571,2.995
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,8,3.363,3.001
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,9,4.52,3.061
2021,4,Middle,BBOC,M. gigas,No Tide,21,53,10,4.387,2.529
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,1,3.877,2.649
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,2,2.533,2.282
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,3,3.638,2.549
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,4,3.497,2.548
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,5,3.935,2.252
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,6,4.373,2.971
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,7,2.925,3.05
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,8,2.984,2.319
2021,4,Middle,BBOC,M. gigas,No Tide,16,54,9,4.532,2.894
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,1,3.887,2.436
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,2,4.256,2.46
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,3,3.514,2.686
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,4,3.217,1.998
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,5,3.13,2.279
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,6,3.882,2.889
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,7,3.213,3.31
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,8,3.468,2.351
2021,4,Middle,BBOC,M. gigas,No Tide,16,55,9,3.516,2.518
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,1,5.037,2.949
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,3,3.744,2.675
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,4,4.77,3.099
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,5,4,2.28
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,6,4.246,2.858
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,7,4.556,3.19
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,8,4.278,2.69
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,9,4.075,2.901
2021,4,Middle,BBOC,M. gigas,No Tide,16,56,10,4.805,2.633
2021,1,North,HIOC,M. gigas,No Tide,21,41,1,2.367,2.064
2021,1,North,HIOC,M. gigas,No Tide,21,41,2,2.33,1.698
2021,1,North,HIOC,M. gigas,No Tide,21,41,3,1.646,1.426
2021,1,North,HIOC,M. gigas,No Tide,21,41,4,2.513,1.825
2021,1,North,HIOC,M. gigas,No Tide,21,41,5,2.579,1.945
2021,1,North,HIOC,M. gigas,No Tide,21,41,6,2.795,1.998
2021,1,North,HIOC,M. gigas,No Tide,21,41,7,2.312,1.634
2021,1,North,HIOC,M. gigas,No Tide,21,41,8,2.404,1.779
2021,1,North,HIOC,M. gigas,No Tide,21,41,9,2.402,1.74
2021,1,North,HIOC,M. gigas,No Tide,21,41,10,2.212,2.013
2021,1,North,HIOC,M. gigas,No Tide,21,42,1,3.321,2.054
2021,1,North,HIOC,M. gigas,No Tide,21,42,2,2.637,1.988
2021,1,North,HIOC,M. gigas,No Tide,21,42,3,2.698,2.175
2021,1,North,HIOC,M. gigas,No Tide,21,42,4,2.832,1.817
2021,1,North,HIOC,M. gigas,No Tide,21,42,5,2.322,1.904
2021,1,North,HIOC,M. gigas,No Tide,21,42,6,3.122,1.999
2021,1,North,HIOC,M. gigas,No Tide,21,42,7,2.182,1.688
2021,1,North,HIOC,M. gigas,No Tide,21,42,8,1.976,1.655
2021,1,North,HIOC,M. gigas,No Tide,21,42,9,2.123,1.579
2021,1,North,HIOC,M. gigas,No Tide,21,42,10,2.276,1.813
2021,1,North,HIOC,M. gigas,No Tide,21,43,1,2.654,2.123
2021,1,North,HIOC,M. gigas,No Tide,21,43,2,2.355,1.659
2021,1,North,HIOC,M. gigas,No Tide,21,43,3,3.053,1.846
2021,1,North,HIOC,M. gigas,No Tide,21,43,4,3.568,2.079
2021,1,North,HIOC,M. gigas,No Tide,21,43,5,2.136,1.581
2021,1,North,HIOC,M. gigas,No Tide,21,43,6,2.337,1.986
2021,1,North,HIOC,M. gigas,No Tide,21,43,7,2.44,1.504
2021,1,North,HIOC,M. gigas,No Tide,21,43,8,2.243,1.748
2021,1,North,HIOC,M. gigas,No Tide,21,43,9,2.669,1.942
2021,1,North,HIOC,M. gigas,No Tide,21,43,10,2.846,2.122
2021,1,North,HIOC,M. gigas,No Tide,16,44,1,1.872,1.877
2021,1,North,HIOC,M. gigas,No Tide,16,44,2,2.15,1.72
2021,1,North,HIOC,M. gigas,No Tide,16,44,3,2.222,1.615
2021,1,North,HIOC,M. gigas,No Tide,16,44,4,2.129,2.117
2021,1,North,HIOC,M. gigas,No Tide,16,44,5,1.854,1.618
2021,1,North,HIOC,M. gigas,No Tide,16,44,6,2.058,1.897
2021,1,North,HIOC,M. gigas,No Tide,16,44,7,2.033,1.765
2021,1,North,HIOC,M. gigas,No Tide,16,44,8,2.012,1.678
2021,1,North,HIOC,M. gigas,No Tide,16,44,9,1.812,1.706
2021,1,North,HIOC,M. gigas,No Tide,16,44,10,1.716,1.64
2021,1,North,HIOC,M. gigas,No Tide,16,45,1,2.661,1.986
2021,1,North,HIOC,M. gigas,No Tide,16,45,2,2.232,1.898
2021,1,North,HIOC,M. gigas,No Tide,16,45,3,3.099,1.941
2021,1,North,HIOC,M. gigas,No Tide,16,45,4,2.427,2.118
2021,1,North,HIOC,M. gigas,No Tide,16,45,5,2.853,1.956
2021,1,North,HIOC,M. gigas,No Tide,16,45,6,2.382,1.955
2021,1,North,HIOC,M. gigas,No Tide,16,45,7,1.809,1.53
2021,1,North,HIOC,M. gigas,No Tide,16,45,8,2.72,1.868
2021,1,North,HIOC,M. gigas,No Tide,16,45,9,1.961,1.676
2021,1,North,HIOC,M. gigas,No Tide,16,45,10,2.349,2.004
2021,1,North,HIOC,M. gigas,No Tide,16,46,1,3.287,1.963
2021,1,North,HIOC,M. gigas,No Tide,16,46,2,2.981,2.31
2021,1,North,HIOC,M. gigas,No Tide,16,46,3,3.241,1.817
2021,1,North,HIOC,M. gigas,No Tide,16,46,4,2.589,1.808
2021,1,North,HIOC,M. gigas,No Tide,16,46,5,2.48,2.033
2021,1,North,HIOC,M. gigas,No Tide,16,46,6,2.735,1.794
2021,1,North,HIOC,M. gigas,No Tide,16,46,7,1.718,1.796
2021,1,North,HIOC,M. gigas,No Tide,16,46,8,2.568,2.044
2021,1,North,HIOC,M. gigas,No Tide,16,46,9,2.965,2
2021,1,North,HIOC,M. gigas,No Tide,16,46,10,2.41,1.673
2021,4,North,HIOC,M. gigas,No Tide,21,41,1,3.576,2.488
2021,4,North,HIOC,M. gigas,No Tide,21,41,2,3.199,2.879
2021,4,North,HIOC,M. gigas,No Tide,21,41,3,4.784,2.916
2021,4,North,HIOC,M. gigas,No Tide,21,41,4,3.469,2.458
2021,4,North,HIOC,M. gigas,No Tide,21,41,5,4.07,3.068
2021,4,North,HIOC,M. gigas,No Tide,21,41,6,3.874,2.762
2021,4,North,HIOC,M. gigas,No Tide,21,41,7,2.785,2.254
2021,4,North,HIOC,M. gigas,No Tide,21,41,8,3.284,2.57
2021,4,North,HIOC,M. gigas,No Tide,21,41,9,3.81,2.264
2021,4,North,HIOC,M. gigas,No Tide,21,41,10,3.515,2.269
2021,4,North,HIOC,M. gigas,No Tide,21,42,1,3.401,2.582
2021,4,North,HIOC,M. gigas,No Tide,21,42,2,2.915,2.193
2021,4,North,HIOC,M. gigas,No Tide,21,42,3,2.783,2.313
2021,4,North,HIOC,M. gigas,No Tide,21,42,4,3.903,2.966
2021,4,North,HIOC,M. gigas,No Tide,21,42,5,3.647,2.588
2021,4,North,HIOC,M. gigas,No Tide,21,42,6,2.795,2.06
2021,4,North,HIOC,M. gigas,No Tide,21,42,7,3.688,2.462
2021,4,North,HIOC,M. gigas,No Tide,21,42,8,2.813,2.069
2021,4,North,HIOC,M. gigas,No Tide,21,42,9,2.961,2.08
2021,4,North,HIOC,M. gigas,No Tide,21,43,1,3.113,2.519
2021,4,North,HIOC,M. gigas,No Tide,21,43,2,2.559,1.82
2021,4,North,HIOC,M. gigas,No Tide,21,43,3,3.179,2.272
2021,4,North,HIOC,M. gigas,No Tide,21,43,4,2.587,2.296
2021,4,North,HIOC,M. gigas,No Tide,21,43,5,3.632,2.635
2021,4,North,HIOC,M. gigas,No Tide,21,43,6,2.569,2.695
2021,4,North,HIOC,M. gigas,No Tide,21,43,7,3.963,2.577
2021,4,North,HIOC,M. gigas,No Tide,21,43,8,2.994,2.199
2021,4,North,HIOC,M. gigas,No Tide,21,43,9,2.577,2.323
2021,4,North,HIOC,M. gigas,No Tide,21,43,10,3.094,2.912
2021,4,North,HIOC,M. gigas,No Tide,16,44,1,4.122,2.545
2021,4,North,HIOC,M. gigas,No Tide,16,44,2,4.223,2.908
2021,4,North,HIOC,M. gigas,No Tide,16,44,3,3.083,2.463
2021,4,North,HIOC,M. gigas,No Tide,16,44,4,3.746,2.548
2021,4,North,HIOC,M. gigas,No Tide,16,44,5,3.966,2.71
2021,4,North,HIOC,M. gigas,No Tide,16,44,6,3.126,2.53
2021,4,North,HIOC,M. gigas,No Tide,16,44,7,2.638,2.084
2021,4,North,HIOC,M. gigas,No Tide,16,44,8,3.464,2.324
2021,4,North,HIOC,M. gigas,No Tide,16,44,9,2.682,2.645
2021,4,North,HIOC,M. gigas,No Tide,16,44,10,3.383,2.371
2021,4,North,HIOC,M. gigas,No Tide,16,45,1,2.532,2.155
2021,4,North,HIOC,M. gigas,No Tide,16,45,2,3.111,2.068
2021,4,North,HIOC,M. gigas,No Tide,16,45,3,2.84,2.012
2021,4,North,HIOC,M. gigas,No Tide,16,45,4,3.565,1.976
2021,4,North,HIOC,M. gigas,No Tide,16,45,5,2.403,2.438
2021,4,North,HIOC,M. gigas,No Tide,16,45,6,2.462,2.056
2021,4,North,HIOC,M. gigas,No Tide,16,45,7,2.754,2.01
2021,4,North,HIOC,M. gigas,No Tide,16,45,8,2.913,2.012
2021,4,North,HIOC,M. gigas,No Tide,16,45,9,2.418,2.258
2021,4,North,HIOC,M. gigas,No Tide,16,45,10,2.925,2.071
2021,4,North,HIOC,M. gigas,No Tide,16,46,2,3.453,2.259
2021,4,North,HIOC,M. gigas,No Tide,16,46,3,3.854,2.283
2021,4,North,HIOC,M. gigas,No Tide,16,46,4,4.266,2.654
2021,4,North,HIOC,M. gigas,No Tide,16,46,5,3.313,1.998
2021,4,North,HIOC,M. gigas,No Tide,16,46,6,3.148,2.143
2021,4,North,HIOC,M. gigas,No Tide,16,46,7,3.626,2.98
2021,4,North,HIOC,M. gigas,No Tide,16,46,8,3.187,2.026
2021,4,North,HIOC,M. gigas,No Tide,16,46,9,3.426,2.056
2021,4,North,HIOC,M. gigas,No Tide,16,46,10,3.577,2.205
2021,1,South,TBOC,M. gigas,No Tide,21,61,1,2.937,2.084
2021,1,South,TBOC,M. gigas,No Tide,21,61,2,2.96,1.886
2021,1,South,TBOC,M. gigas,No Tide,21,61,3,2.82,1.977
2021,1,South,TBOC,M. gigas,No Tide,21,61,4,2.255,1.506
2021,1,South,TBOC,M. gigas,No Tide,21,61,5,2.557,1.615
2021,1,South,TBOC,M. gigas,No Tide,21,61,6,2.929,2.018
2021,1,South,TBOC,M. gigas,No Tide,21,61,7,2.891,1.988
2021,1,South,TBOC,M. gigas,No Tide,21,61,8,3.306,1.775
2021,1,South,TBOC,M. gigas,No Tide,21,61,9,2.192,1.994
2021,1,South,TBOC,M. gigas,No Tide,21,61,10,2.346,1.798
2021,1,South,TBOC,M. gigas,No Tide,21,62,1,2.66,1.783
2021,1,South,TBOC,M. gigas,No Tide,21,62,2,2.518,2.054
2021,1,South,TBOC,M. gigas,No Tide,21,62,3,2.054,1.827
2021,1,South,TBOC,M. gigas,No Tide,21,62,4,2.346,1.809
2021,1,South,TBOC,M. gigas,No Tide,21,62,5,3.007,1.696
2021,1,South,TBOC,M. gigas,No Tide,21,62,6,2.581,1.84
2021,1,South,TBOC,M. gigas,No Tide,21,62,7,2.575,1.9
2021,1,South,TBOC,M. gigas,No Tide,21,62,8,2.146,1.795
2021,1,South,TBOC,M. gigas,No Tide,21,62,9,3.155,2.124
2021,1,South,TBOC,M. gigas,No Tide,21,62,10,2.239,1.766
2021,1,South,TBOC,M. gigas,No Tide,21,63,1,2.26,1.625
2021,1,South,TBOC,M. gigas,No Tide,21,63,2,3.099,2.131
2021,1,South,TBOC,M. gigas,No Tide,21,63,3,2.21,1.75
2021,1,South,TBOC,M. gigas,No Tide,21,63,4,2.611,1.766
2021,1,South,TBOC,M. gigas,No Tide,21,63,5,2.618,2.144
2021,1,South,TBOC,M. gigas,No Tide,21,63,6,2.699,1.855
2021,1,South,TBOC,M. gigas,No Tide,21,63,7,2.761,2.023
2021,1,South,TBOC,M. gigas,No Tide,21,63,8,2.737,1.857
2021,1,South,TBOC,M. gigas,No Tide,21,63,9,3.203,2.1
2021,1,South,TBOC,M. gigas,No Tide,21,63,10,2.544,1.809
2021,1,South,TBOC,M. gigas,No Tide,16,64,1,2.608,1.652
2021,1,South,TBOC,M. gigas,No Tide,16,64,2,2.619,2.015
2021,1,South,TBOC,M. gigas,No Tide,16,64,3,2.746,2.164
2021,1,South,TBOC,M. gigas,No Tide,16,64,4,2.544,2.429
2021,1,South,TBOC,M. gigas,No Tide,16,64,5,2.384,1.623
2021,1,South,TBOC,M. gigas,No Tide,16,64,6,2.101,1.654
2021,1,South,TBOC,M. gigas,No Tide,16,64,7,3.037,2.047
2021,1,South,TBOC,M. gigas,No Tide,16,64,8,2.803,1.669
2021,1,South,TBOC,M. gigas,No Tide,16,64,9,2.598,1.667
2021,1,South,TBOC,M. gigas,No Tide,16,64,10,2.171,1.689
2021,1,South,TBOC,M. gigas,No Tide,16,65,1,2.881,2.091
2021,1,South,TBOC,M. gigas,No Tide,16,65,2,1.989,1.535
2021,1,South,TBOC,M. gigas,No Tide,16,65,3,3.431,2.123
2021,1,South,TBOC,M. gigas,No Tide,16,65,4,2.889,2.135
2021,1,South,TBOC,M. gigas,No Tide,16,65,5,2.971,1.996
2021,1,South,TBOC,M. gigas,No Tide,16,65,6,2.885,1.808
2021,1,South,TBOC,M. gigas,No Tide,16,65,7,3.019,1.831
2021,1,South,TBOC,M. gigas,No Tide,16,65,8,2.725,1.938
2021,1,South,TBOC,M. gigas,No Tide,16,65,9,2.319,1.628
2021,1,South,TBOC,M. gigas,No Tide,16,65,10,2.661,1.756
2021,1,South,TBOC,M. gigas,No Tide,16,66,1,2.59,1.952
2021,1,South,TBOC,M. gigas,No Tide,16,66,2,2.224,1.594
2021,1,South,TBOC,M. gigas,No Tide,16,66,3,2.902,1.967
2021,1,South,TBOC,M. gigas,No Tide,16,66,4,1.934,1.667
2021,1,South,TBOC,M. gigas,No Tide,16,66,5,2.903,1.755
2021,1,South,TBOC,M. gigas,No Tide,16,66,6,2.472,1.8
2021,1,South,TBOC,M. gigas,No Tide,16,66,7,2.108,1.669
2021,1,South,TBOC,M. gigas,No Tide,16,66,8,2.033,1.551
2021,1,South,TBOC,M. gigas,No Tide,16,66,9,2.471,1.624
2021,1,South,TBOC,M. gigas,No Tide,16,66,10,2.88,1.786
2021,4,South,TBOC,M. gigas,No Tide,21,61,1,2.872,2.511
2021,4,South,TBOC,M. gigas,No Tide,21,61,2,2.642,2.127
2021,4,South,TBOC,M. gigas,No Tide,21,61,3,2.323,2.51
2021,4,South,TBOC,M. gigas,No Tide,21,61,4,2.631,2.57
2021,4,South,TBOC,M. gigas,No Tide,21,61,5,3.114,2.096
2021,4,South,TBOC,M. gigas,No Tide,21,61,6,3.483,2.318
2021,4,South,TBOC,M. gigas,No Tide,21,61,7,3.167,2.658
2021,4,South,TBOC,M. gigas,No Tide,21,61,8,3.027,1.966
2021,4,South,TBOC,M. gigas,No Tide,21,61,9,3.365,2.143
2021,4,South,TBOC,M. gigas,No Tide,21,61,10,3.106,2.601
2021,4,South,TBOC,M. gigas,No Tide,21,62,1,2.213,1.96
2021,4,South,TBOC,M. gigas,No Tide,21,62,2,2.586,2.05
2021,4,South,TBOC,M. gigas,No Tide,21,62,3,3.252,2.488
2021,4,South,TBOC,M. gigas,No Tide,21,62,4,2.676,1.996
2021,4,South,TBOC,M. gigas,No Tide,21,62,5,2.678,2.278
2021,4,South,TBOC,M. gigas,No Tide,21,62,6,2.571,2.009
2021,4,South,TBOC,M. gigas,No Tide,21,62,7,2.798,2.225
2021,4,South,TBOC,M. gigas,No Tide,21,62,8,3.191,2.052
2021,4,South,TBOC,M. gigas,No Tide,21,62,9,2.495,1.892
2021,4,South,TBOC,M. gigas,No Tide,21,62,10,2.684,1.818
2021,4,South,TBOC,M. gigas,No Tide,21,63,1,3.359,2.317
2021,4,South,TBOC,M. gigas,No Tide,21,63,2,2.976,1.795
2021,4,South,TBOC,M. gigas,No Tide,21,63,3,2.347,1.757
2021,4,South,TBOC,M. gigas,No Tide,21,63,4,2.653,1.944
2021,4,South,TBOC,M. gigas,No Tide,21,63,5,2.776,2.362
2021,4,South,TBOC,M. gigas,No Tide,21,63,6,3.036,2.019
2021,4,South,TBOC,M. gigas,No Tide,21,63,7,3.395,1.983
2021,4,South,TBOC,M. gigas,No Tide,21,63,8,2.385,1.686
2021,4,South,TBOC,M. gigas,No Tide,21,63,9,2.735,1.776
2021,4,South,TBOC,M. gigas,No Tide,21,63,10,2.973,2.105
2021,4,South,TBOC,M. gigas,No Tide,16,64,1,3.122,2.613
2021,4,South,TBOC,M. gigas,No Tide,16,64,2,2.44,2.442
2021,4,South,TBOC,M. gigas,No Tide,16,64,3,3.501,2.366
2021,4,South,TBOC,M. gigas,No Tide,16,64,4,3.206,2.485
2021,4,South,TBOC,M. gigas,No Tide,16,64,5,3.066,2.295
2021,4,South,TBOC,M. gigas,No Tide,16,64,6,3.205,2.066
2021,4,South,TBOC,M. gigas,No Tide,16,64,7,2.705,2.626
2021,4,South,TBOC,M. gigas,No Tide,16,64,8,2.783,1.837
2021,4,South,TBOC,M. gigas,No Tide,16,64,9,2.897,2.762
2021,4,South,TBOC,M. gigas,No Tide,16,64,10,2.781,1.904
2021,4,South,TBOC,M. gigas,No Tide,16,65,1,3.099,1.696
2021,4,South,TBOC,M. gigas,No Tide,16,65,2,3.171,2.596
2021,4,South,TBOC,M. gigas,No Tide,16,65,3,2.686,1.771
2021,4,South,TBOC,M. gigas,No Tide,16,65,4,2.457,2.236
2021,4,South,TBOC,M. gigas,No Tide,16,65,5,2.917,1.945
2021,4,South,TBOC,M. gigas,No Tide,16,65,6,2.263,1.746
2021,4,South,TBOC,M. gigas,No Tide,16,65,7,2.541,2.135
2021,4,South,TBOC,M. gigas,No Tide,16,65,8,2.423,1.866
2021,4,South,TBOC,M. gigas,No Tide,16,65,9,3.903,2.825
2021,4,South,TBOC,M. gigas,No Tide,16,65,10,2.11,1.837
2021,4,South,TBOC,M. gigas,No Tide,16,66,1,2.852,2.064
2021,4,South,TBOC,M. gigas,No Tide,16,66,2,3.027,2.081
2021,4,South,TBOC,M. gigas,No Tide,16,66,3,2.647,1.69
2021,4,South,TBOC,M. gigas,No Tide,16,66,4,3.294,1.996
2021,4,South,TBOC,M. gigas,No Tide,16,66,5,2.562,2.571
2021,4,South,TBOC,M. gigas,No Tide,16,66,6,2.719,1.734
2021,4,South,TBOC,M. gigas,No Tide,16,66,7,2.824,2.015
2021,4,South,TBOC,M. gigas,No Tide,16,66,8,2.933,1.868
2021,4,South,TBOC,M. gigas,No Tide,16,66,9,3.797,2.495
2021,4,South,TBOC,M. gigas,No Tide,16,66,10,2.587,1.96
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,1,3.14,2.527
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,2,2.752,1.906
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,3,2.679,2.018
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,4,2.479,2.044
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,5,3.108,2.127
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,6,3.048,2.177
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,7,2.72,2.289
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,8,2.677,1.845
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,9,3.62,2.152
2022,1,Middle,BBOC,M. gigas,No Tide,15,13,10,2.487,1.755
2022,1,Middle,BBOC,M. gigas,No Tide,15,14,1,2.695,2.059
2022,1,Middle,BBOC,M. gigas,No Tide,15,14,2,2.729,2.142
2022,1,Middle,BBOC,M. gigas,No Tide,15,14,3,2.692,1.711
