Numb,Date,Sampling_Interval,Site,Location,Species,Hardening,Temp_Hardening,Tide_Hardening,Bag_Numb,SLOT_NUMB_S-N,Living_Numb,Mortality_Total,Mortality_Non-Drill,Mortality_Drill,Moribund_Numb,Sampled_Numb,Other_Numb,Remaining_Numb,Prop_Rem,Prop_Dead,OysterDrill_Numb,Notes
17,7/12/2021,0,North,Tom's Point,C_gigas,16_NT,16,NT,45,10,225,0,0,0,0,0,0,225,1,0,0,
18,7/12/2021,0,North,Tom's Point,C_gigas,16_NT,16,NT,46,1,225,0,0,0,0,0,0,225,1,0,0,
19,7/12/2021,0,Middle,Hamlet,C_sikamea,21_T,21,T,13,8,245,0,0,0,0,0,0,245,1,0,0,
20,7/12/2021,0,Middle,Hamlet,C_sikamea,21_T,21,T,14,1,245,0,0,0,0,0,0,245,1,0,0,
21,7/12/2021,0,Middle,Hamlet,C_sikamea,21_T,21,T,15,13,245,0,0,0,0,0,0,245,1,0,0,
22,7/12/2021,0,Middle,Hamlet,C_sikamea,16_T,16,T,16,10,250,0,0,0,0,0,0,250,1,0,0,
23,7/12/2021,0,Middle,Hamlet,C_sikamea,16_T,16,T,17,5,250,0,0,0,0,0,0,250,1,0,0,
24,7/12/2021,0,Middle,Hamlet,C_sikamea,16_T,16,T,18,11,250,0,0,0,0,0,0,250,1,0,0,
25,7/12/2021,0,Middle,Hamlet,C_sikamea,21_NT,21,NT,19,17,175,0,0,0,0,0,0,175,1,0,0,
26,7/12/2021,0,Middle,Hamlet,C_sikamea,21_NT,21,NT,20,4,175,0,0,0,0,0,0,175,1,0,0,
27,7/12/2021,0,Middle,Hamlet,C_sikamea,21_NT,21,NT,21,14,175,0,0,0,0,0,0,175,1,0,0,
28,7/12/2021,0,Middle,Hamlet,C_sikamea,16_NT,16,NT,22,16,250,0,0,0,0,0,0,250,1,0,0,
29,7/12/2021,0,Middle,Hamlet,C_sikamea,16_NT,16,NT,23,2,250,0,0,0,0,0,0,250,1,0,0,
30,7/12/2021,0,Middle,Hamlet,C_sikamea,16_NT,16,NT,24,7,250,0,0,0,0,0,0,250,1,0,0,
31,7/12/2021,0,Middle,Hamlet,C_gigas,21_NT,21,NT,51,18,225,0,0,0,0,0,0,225,1,0,0,
32,7/12/2021,0,Middle,Hamlet,C_gigas,21_NT,21,NT,52,15,225,0,0,0,0,0,0,225,1,0,0,
33,7/12/2021,0,Middle,Hamlet,C_gigas,21_NT,21,NT,53,9,225,0,0,0,0,0,0,225,1,0,0,
34,7/12/2021,0,Middle,Hamlet,C_gigas,16_NT,16,NT,54,3,225,0,0,0,0,0,0,225,1,0,0,
35,7/12/2021,0,Middle,Hamlet,C_gigas,16_NT,16,NT,55,6,225,0,0,0,0,0,0,225,1,0,0,
36,7/12/2021,0,Middle,Hamlet,C_gigas,16_NT,16,NT,56,12,225,0,0,0,0,0,0,225,1,0,0,
37,7/13/2021,0,South,Tomasini Point,C_sikamea,21_T,21,T,25,8,245,0,0,0,0,0,0,245,1,0,1,
38,7/13/2021,0,South,Tomasini Point,C_sikamea,21_T,21,T,26,5,245,0,0,0,0,0,0,245,1,0,15,
39,7/13/2021,0,South,Tomasini Point,C_sikamea,21_T,21,T,27,17,245,0,0,0,0,0,0,245,1,0,3,
40,7/13/2021,0,South,Tomasini Point,C_sikamea,16_T,16,T,28,10,250,0,0,0,0,0,0,250,1,0,6,
41,7/13/2021,0,South,Tomasini Point,C_sikamea,16_T,16,T,29,16,250,0,0,0,0,0,0,250,1,0,7,
42,7/13/2021,0,South,Tomasini Point,C_sikamea,16_T,16,T,30,1,250,0,0,0,0,0,0,250,1,0,6,
43,7/13/2021,0,South,Tomasini Point,C_sikamea,21_NT,21,NT,31,2,175,0,0,0,0,0,0,175,1,0,10,
44,7/13/2021,0,South,Tomasini Point,C_sikamea,21_NT,21,NT,32,7,175,0,0,0,0,0,0,175,1,0,4,
45,7/13/2021,0,South,Tomasini Point,C_sikamea,21_NT,21,NT,33,14,175,0,0,0,0,0,0,175,1,0,0,
46,7/13/2021,0,South,Tomasini Point,C_sikamea,16_NT,16,NT,34,4,250,0,0,0,0,0,0,250,1,0,9,
47,7/13/2021,0,South,Tomasini Point,C_sikamea,16_NT,16,NT,35,13,250,0,0,0,0,0,0,250,1,0,5,
48,7/13/2021,0,South,Tomasini Point,C_sikamea,16_NT,16,NT,36,11,250,0,0,0,0,0,0,250,1,0,1,
49,7/13/2021,0,South,Tomasini Point,C_gigas,21_NT,21,NT,61,12,225,0,0,0,0,0,0,225,1,0,1,
50,7/13/2021,0,South,Tomasini Point,C_gigas,21_NT,21,NT,62,6,225,0,0,0,0,0,0,225,1,0,0,
51,7/13/2021,0,South,Tomasini Point,C_gigas,21_NT,21,NT,63,15,225,0,0,0,0,0,0,225,1,0,0,
52,7/13/2021,0,South,Tomasini Point,C_gigas,16_NT,16,NT,64,9,225,0,0,0,0,0,0,225,1,0,0,
53,7/13/2021,0,South,Tomasini Point,C_gigas,16_NT,16,NT,65,3,225,0,0,0,0,0,0,225,1,0,2,
54,7/13/2021,0,South,Tomasini Point,C_gigas,16_NT,16,NT,66,18,225,0,0,0,0,0,0,225,1,0,0,
55,7/23/2021,1,North,Tom's Point,C_sikamea,21_T,21,T,1,18,245,1,1,0,0,10,1,233,0.951020408,0.048979592,0,extra oyster removed for qPCR sampling
56,7/23/2021,1,North,Tom's Point,C_sikamea,21_T,21,T,2,15,245,0,0,0,0,10,0,235,0.959183673,0.040816327,0,
57,7/23/2021,1,North,Tom's Point,C_sikamea,21_T,21,T,3,5,245,0,0,0,0,10,0,235,0.959183673,0.040816327,0,
58,7/23/2021,1,North,Tom's Point,C_sikamea,16_T,16,T,4,14,250,1,1,0,0,10,0,239,0.956,0.044,0,
59,7/23/2021,1,North,Tom's Point,C_sikamea,16_T,16,T,5,9,250,0,0,0,0,10,0,240,0.96,0.04,0,
60,7/23/2021,1,North,Tom's Point,C_sikamea,16_T,16,T,6,3,250,0,0,0,0,10,0,240,0.96,0.04,0,
61,7/23/2021,1,North,Tom's Point,C_sikamea,21_NT,21,NT,7,12,175,4,4,0,0,10,0,161,0.92,0.08,0,
62,7/23/2021,1,North,Tom's Point,C_sikamea,21_NT,21,NT,8,8,175,1,1,0,0,10,0,164,0.937142857,0.062857143,0,
63,7/23/2021,1,North,Tom's Point,C_sikamea,21_NT,21,NT,9,6,175,2,2,0,0,10,0,163,0.931428571,0.068571429,0,
64,7/23/2021,1,North,Tom's Point,C_sikamea,16_NT,16,NT,10,17,250,1,1,0,0,10,0,239,0.956,0.044,0,
65,7/23/2021,1,North,Tom's Point,C_sikamea,16_NT,16,NT,11,11,250,1,1,0,0,10,0,239,0.956,0.044,0,
66,7/23/2021,1,North,Tom's Point,C_sikamea,16_NT,16,NT,12,2,250,0,0,0,0,10,0,240,0.96,0.04,0,
67,7/23/2021,1,North,Tom's Point,C_gigas,21_NT,21,NT,41,7,225,1,1,0,0,10,0,214,0.951111111,0.048888889,0,
68,7/23/2021,1,North,Tom's Point,C_gigas,21_NT,21,NT,42,4,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
69,7/23/2021,1,North,Tom's Point,C_gigas,21_NT,21,NT,43,16,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
70,7/23/2021,1,North,Tom's Point,C_gigas,16_NT,16,NT,44,13,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
71,7/23/2021,1,North,Tom's Point,C_gigas,16_NT,16,NT,45,10,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
72,7/23/2021,1,North,Tom's Point,C_gigas,16_NT,16,NT,46,1,225,1,1,0,0,10,0,214,0.951111111,0.048888889,0,
73,7/23/2021,1,Middle,Hamlet,C_sikamea,21_T,21,T,13,8,245,1,1,0,1,10,0,234,0.955102041,0.044897959,0,
74,7/23/2021,1,Middle,Hamlet,C_sikamea,21_T,21,T,14,1,245,1,1,0,1,10,0,234,0.955102041,0.044897959,0,
75,7/23/2021,1,Middle,Hamlet,C_sikamea,21_T,21,T,15,13,245,0,0,0,0,10,0,235,0.959183673,0.040816327,0,
76,7/23/2021,1,Middle,Hamlet,C_sikamea,16_T,16,T,16,10,250,0,0,0,0,10,0,240,0.96,0.04,0,
77,7/23/2021,1,Middle,Hamlet,C_sikamea,16_T,16,T,17,5,250,0,0,0,0,10,0,240,0.96,0.04,0,
78,7/23/2021,1,Middle,Hamlet,C_sikamea,16_T,16,T,18,11,250,0,0,0,0,10,0,240,0.96,0.04,0,
79,7/23/2021,1,Middle,Hamlet,C_sikamea,21_NT,21,NT,19,17,175,0,0,0,0,10,0,165,0.942857143,0.057142857,0,
80,7/23/2021,1,Middle,Hamlet,C_sikamea,21_NT,21,NT,20,4,175,2,2,0,0,10,0,163,0.931428571,0.068571429,0,
81,7/23/2021,1,Middle,Hamlet,C_sikamea,21_NT,21,NT,21,14,175,1,1,0,0,10,0,164,0.937142857,0.062857143,0,
82,7/23/2021,1,Middle,Hamlet,C_sikamea,16_NT,16,NT,22,16,250,0,0,0,0,10,0,240,0.96,0.04,0,
83,7/23/2021,1,Middle,Hamlet,C_sikamea,16_NT,16,NT,23,2,250,0,0,0,0,10,0,240,0.96,0.04,0,
84,7/23/2021,1,Middle,Hamlet,C_sikamea,16_NT,16,NT,24,7,250,1,1,0,0,10,1,238,0.952,0.048,0,extra oyster removed for qPCR sampling
85,7/23/2021,1,Middle,Hamlet,C_gigas,21_NT,21,NT,51,18,225,1,1,0,0,10,1,213,0.946666667,0.053333333,0,extra oyster removed for qPCR sampling
86,7/23/2021,1,Middle,Hamlet,C_gigas,21_NT,21,NT,52,15,225,1,1,0,0,10,0,214,0.951111111,0.048888889,0,
87,7/23/2021,1,Middle,Hamlet,C_gigas,21_NT,21,NT,53,9,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
88,7/23/2021,1,Middle,Hamlet,C_gigas,16_NT,16,NT,54,3,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
89,7/23/2021,1,Middle,Hamlet,C_gigas,16_NT,16,NT,55,6,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
90,7/23/2021,1,Middle,Hamlet,C_gigas,16_NT,16,NT,56,12,225,4,4,0,0,10,0,211,0.937777778,0.062222222,0,
91,7/26/2021,1,South,Tomasini Point,C_sikamea,21_T,21,T,25,8,245,3,3,0,0,10,0,232,0.946938776,0.053061224,4,
92,7/26/2021,1,South,Tomasini Point,C_sikamea,21_T,21,T,26,5,245,13,13,13,0,10,0,222,0.906122449,0.093877551,7,
93,7/26/2021,1,South,Tomasini Point,C_sikamea,21_T,21,T,27,17,245,7,7,0,0,10,0,228,0.930612245,0.069387755,9,
94,7/26/2021,1,South,Tomasini Point,C_sikamea,16_T,16,T,28,10,250,18,18,18,2,10,0,222,0.888,0.112,12,
95,7/26/2021,1,South,Tomasini Point,C_sikamea,16_T,16,T,29,16,250,12,3,9,0,10,0,228,0.912,0.088,7,
96,7/26/2021,1,South,Tomasini Point,C_sikamea,16_T,16,T,30,1,250,11,10,1,0,10,0,229,0.916,0.084,3,
97,7/26/2021,1,South,Tomasini Point,C_sikamea,21_NT,21,NT,31,2,175,19,18,1,0,10,0,146,0.834285714,0.165714286,1,
98,7/26/2021,1,South,Tomasini Point,C_sikamea,21_NT,21,NT,32,7,175,16,13,3,0,10,1,148,0.845714286,0.154285714,2,extra oyster removed for qPCR sampling
99,7/26/2021,1,South,Tomasini Point,C_sikamea,21_NT,21,NT,33,14,175,2,2,0,1,10,0,163,0.931428571,0.068571429,0,
100,7/26/2021,1,South,Tomasini Point,C_sikamea,16_NT,16,NT,34,4,250,7,4,3,1,10,0,233,0.932,0.068,10,
101,7/26/2021,1,South,Tomasini Point,C_sikamea,16_NT,16,NT,35,13,250,3,3,0,0,10,0,237,0.948,0.052,3,
102,7/26/2021,1,South,Tomasini Point,C_sikamea,16_NT,16,NT,36,11,250,4,4,0,0,10,0,236,0.944,0.056,0,
103,7/26/2021,1,South,Tomasini Point,C_gigas,21_NT,21,NT,61,12,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
104,7/26/2021,1,South,Tomasini Point,C_gigas,21_NT,21,NT,62,6,225,2,2,0,0,10,0,213,0.946666667,0.053333333,0,
105,7/26/2021,1,South,Tomasini Point,C_gigas,21_NT,21,NT,63,15,225,1,1,0,0,10,0,214,0.951111111,0.048888889,2,
106,7/26/2021,1,South,Tomasini Point,C_gigas,16_NT,16,NT,64,9,225,1,1,0,0,10,0,214,0.951111111,0.048888889,1,
107,7/26/2021,1,South,Tomasini Point,C_gigas,16_NT,16,NT,65,3,225,5,0,5,0,10,0,210,0.933333333,0.066666667,3,
108,7/26/2021,1,South,Tomasini Point,C_gigas,16_NT,16,NT,66,18,225,2,2,0,0,10,0,213,0.946666667,0.053333333,6,
109,8/9/2021,2,North,Tom's Point,C_sikamea,21_T,21,T,1,18,233,1,1,0,0,10,0,222,0.9527897,0.0472103,0,
110,8/9/2021,2,North,Tom's Point,C_sikamea,21_T,21,T,2,15,235,0,0,0,0,10,0,225,0.957446809,0.042553191,0,
111,8/9/2021,2,North,Tom's Point,C_sikamea,21_T,21,T,3,5,235,0,0,0,0,10,0,225,0.957446809,0.042553191,0,
112,8/9/2021,2,North,Tom's Point,C_sikamea,16_T,16,T,4,14,239,0,0,0,0,10,0,229,0.958158996,0.041841004,0,
113,8/9/2021,2,North,Tom's Point,C_sikamea,16_T,16,T,5,9,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
114,8/9/2021,2,North,Tom's Point,C_sikamea,16_T,16,T,6,3,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
115,8/9/2021,2,North,Tom's Point,C_sikamea,21_NT,21,NT,7,12,161,0,0,0,0,10,0,151,0.937888199,0.062111801,0,
116,8/9/2021,2,North,Tom's Point,C_sikamea,21_NT,21,NT,8,8,164,1,1,0,0,10,0,153,0.932926829,0.067073171,0,
117,8/9/2021,2,North,Tom's Point,C_sikamea,21_NT,21,NT,9,6,163,0,0,0,0,10,0,153,0.938650307,0.061349693,0,
118,8/9/2021,2,North,Tom's Point,C_sikamea,16_NT,16,NT,10,17,239,1,1,0,0,10,0,228,0.953974895,0.046025105,0,
119,8/9/2021,2,North,Tom's Point,C_sikamea,16_NT,16,NT,11,11,239,0,0,0,0,10,0,229,0.958158996,0.041841004,0,
120,8/9/2021,2,North,Tom's Point,C_sikamea,16_NT,16,NT,12,2,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
121,8/9/2021,2,North,Tom's Point,C_gigas,21_NT,21,NT,41,7,214,0,0,0,0,10,0,204,0.953271028,0.046728972,0,
122,8/9/2021,2,North,Tom's Point,C_gigas,21_NT,21,NT,42,4,215,3,3,0,0,10,0,202,0.939534884,0.060465116,0,
123,8/9/2021,2,North,Tom's Point,C_gigas,21_NT,21,NT,43,16,215,1,1,0,0,10,0,204,0.948837209,0.051162791,0,
124,8/9/2021,2,North,Tom's Point,C_gigas,16_NT,16,NT,44,13,215,0,0,0,0,10,0,205,0.953488372,0.046511628,0,
125,8/9/2021,2,North,Tom's Point,C_gigas,16_NT,16,NT,45,10,215,10,10,0,0,10,0,195,0.906976744,0.093023256,0,
126,8/9/2021,2,North,Tom's Point,C_gigas,16_NT,16,NT,46,1,214,1,1,0,0,10,0,203,0.948598131,0.051401869,0,
127,8/10/2021,2,Middle,Hamlet,C_sikamea,21_T,21,T,13,8,234,2,2,0,0,10,0,222,0.948717949,0.051282051,0,
128,8/10/2021,2,Middle,Hamlet,C_sikamea,21_T,21,T,14,1,234,1,1,0,0,10,0,223,0.952991453,0.047008547,0,
129,8/10/2021,2,Middle,Hamlet,C_sikamea,21_T,21,T,15,13,235,2,2,0,0,10,0,223,0.94893617,0.05106383,0,
130,8/10/2021,2,Middle,Hamlet,C_sikamea,16_T,16,T,16,10,240,1,1,0,0,10,0,229,0.954166667,0.045833333,0,
131,8/10/2021,2,Middle,Hamlet,C_sikamea,16_T,16,T,17,5,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
132,8/10/2021,2,Middle,Hamlet,C_sikamea,16_T,16,T,18,11,240,1,1,0,0,10,0,229,0.954166667,0.045833333,0,
133,8/10/2021,2,Middle,Hamlet,C_sikamea,21_NT,21,NT,19,17,165,3,3,0,0,10,0,152,0.921212121,0.078787879,0,
134,8/10/2021,2,Middle,Hamlet,C_sikamea,21_NT,21,NT,20,4,163,1,1,0,0,10,0,152,0.932515337,0.067484663,0,
135,8/10/2021,2,Middle,Hamlet,C_sikamea,21_NT,21,NT,21,14,164,1,1,0,0,10,0,153,0.932926829,0.067073171,0,
136,8/10/2021,2,Middle,Hamlet,C_sikamea,16_NT,16,NT,22,16,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
137,8/10/2021,2,Middle,Hamlet,C_sikamea,16_NT,16,NT,23,2,240,0,0,0,0,10,0,230,0.958333333,0.041666667,0,
138,8/10/2021,2,Middle,Hamlet,C_sikamea,16_NT,16,NT,24,7,238,1,1,0,0,10,0,227,0.953781513,0.046218487,0,
139,8/10/2021,2,Middle,Hamlet,C_gigas,21_NT,21,NT,51,18,213,86,86,0,0,10,0,117,0.549295775,0.450704225,0,
140,8/10/2021,2,Middle,Hamlet,C_gigas,21_NT,21,NT,52,15,214,63,63,0,29,10,0,141,0.658878505,0.341121495,0,
141,8/10/2021,2,Middle,Hamlet,C_gigas,21_NT,21,NT,53,9,215,125,125,0,14,10,0,80,0.372093023,0.627906977,0,
142,8/10/2021,2,Middle,Hamlet,C_gigas,16_NT,16,NT,54,3,215,188,188,0,1,10,0,17,0.079069767,0.920930233,0,
143,8/10/2021,2,Middle,Hamlet,C_gigas,16_NT,16,NT,55,6,215,193,193,0,0,10,0,12,0.055813953,0.944186047,0,
144,8/10/2021,2,Middle,Hamlet,C_gigas,16_NT,16,NT,56,12,211,152,152,0,0,10,0,49,0.232227488,0.767772512,0,
145,8/6/2021,2,South,Tomasini Point,C_sikamea,21_T,21,T,25,8,232,6,4,2,0,10,0,216,0.931034483,0.068965517,0,
146,8/6/2021,2,South,Tomasini Point,C_sikamea,21_T,21,T,26,5,222,0,0,0,0,10,0,212,0.954954955,0.045045045,0,
147,8/6/2021,2,South,Tomasini Point,C_sikamea,21_T,21,T,27,17,228,17,8,9,0,10,0,201,0.881578947,0.118421053,0,
148,8/6/2021,2,South,Tomasini Point,C_sikamea,16_T,16,T,28,10,222,15,2,13,0,10,0,197,0.887387387,0.112612613,0,
149,8/6/2021,2,South,Tomasini Point,C_sikamea,16_T,16,T,29,16,228,15,7,8,0,10,0,203,0.890350877,0.109649123,0,
150,8/6/2021,2,South,Tomasini Point,C_sikamea,16_T,16,T,30,1,229,9,1,8,0,10,0,210,0.917030568,0.082969432,0,
151,8/6/2021,2,South,Tomasini Point,C_sikamea,21_NT,21,NT,31,2,146,9,4,5,0,10,0,127,0.869863014,0.130136986,0,
152,8/6/2021,2,South,Tomasini Point,C_sikamea,21_NT,21,NT,32,7,148,17,4,13,0,10,0,121,0.817567568,0.182432432,0,
153,8/6/2021,2,South,Tomasini Point,C_sikamea,21_NT,21,NT,33,14,163,1,1,0,0,10,0,152,0.932515337,0.067484663,0,
154,8/6/2021,2,South,Tomasini Point,C_sikamea,16_NT,16,NT,34,4,233,9,4,5,0,10,0,214,0.918454936,0.081545064,0,
155,8/6/2021,2,South,Tomasini Point,C_sikamea,16_NT,16,NT,35,13,237,9,8,1,0,10,0,218,0.919831224,0.080168776,0,
156,8/6/2021,2,South,Tomasini Point,C_sikamea,16_NT,16,NT,36,11,236,3,1,2,0,10,0,223,0.944915254,0.055084746,0,
157,8/6/2021,2,South,Tomasini Point,C_gigas,21_NT,21,NT,61,12,215,2,2,0,0,10,0,203,0.944186047,0.055813953,0,
158,8/6/2021,2,South,Tomasini Point,C_gigas,21_NT,21,NT,62,6,213,0,0,0,0,10,0,203,0.953051643,0.046948357,0,
159,8/6/2021,2,South,Tomasini Point,C_gigas,21_NT,21,NT,63,15,214,5,0,5,0,10,0,199,0.929906542,0.070093458,0,
160,8/6/2021,2,South,Tomasini Point,C_gigas,16_NT,16,NT,64,9,214,0,0,0,0,10,0,204,0.953271028,0.046728972,0,
161,8/6/2021,2,South,Tomasini Point,C_gigas,16_NT,16,NT,65,3,210,0,0,0,0,10,0,200,0.952380952,0.047619048,0,
162,8/6/2021,2,South,Tomasini Point,C_gigas,16_NT,16,NT,66,18,213,16,13,3,0,10,0,187,0.877934272,0.122065728,0,
163,8/24/2021,3,North,Tom's Point,C_sikamea,21_T,21,T,1,18,222,1,1,0,0,10,0,211,0.95045045,0.04954955,0,
164,8/24/2021,3,North,Tom's Point,C_sikamea,21_T,21,T,2,15,225,0,0,0,0,10,0,215,0.955555556,0.044444444,0,
165,8/24/2021,3,North,Tom's Point,C_sikamea,21_T,21,T,3,5,225,2,2,0,0,10,0,213,0.946666667,0.053333333,0,
166,8/24/2021,3,North,Tom's Point,C_sikamea,16_T,16,T,4,14,229,0,0,0,0,10,0,219,0.956331878,0.043668122,0,
167,8/24/2021,3,North,Tom's Point,C_sikamea,16_T,16,T,5,9,230,0,0,0,0,10,0,220,0.956521739,0.043478261,0,
168,8/24/2021,3,North,Tom's Point,C_sikamea,16_T,16,T,6,3,230,1,1,0,0,10,0,219,0.952173913,0.047826087,0,
169,8/24/2021,3,North,Tom's Point,C_sikamea,21_NT,21,NT,7,12,151,0,0,0,0,10,0,141,0.933774834,0.066225166,0,
170,8/24/2021,3,North,Tom's Point,C_sikamea,21_NT,21,NT,8,8,153,0,0,0,0,10,0,143,0.934640523,0.065359477,0,
171,8/24/2021,3,North,Tom's Point,C_sikamea,21_NT,21,NT,9,6,153,0,0,0,0,10,0,143,0.934640523,0.065359477,0,
172,8/24/2021,3,North,Tom's Point,C_sikamea,16_NT,16,NT,10,17,228,0,0,0,0,10,0,218,0.956140351,0.043859649,0,
173,8/24/2021,3,North,Tom's Point,C_sikamea,16_NT,16,NT,11,11,229,1,1,0,0,10,0,218,0.951965066,0.048034934,0,
174,8/24/2021,3,North,Tom's Point,C_sikamea,16_NT,16,NT,12,2,230,1,1,0,0,10,0,219,0.952173913,0.047826087,0,
175,8/24/2021,3,North,Tom's Point,C_gigas,21_NT,21,NT,41,7,204,125,125,0,0,10,0,69,0.338235294,0.661764706,0,
176,8/24/2021,3,North,Tom's Point,C_gigas,21_NT,21,NT,42,4,202,76,76,0,2,9,0,117,0.579207921,0.420792079,0,only 9 oysters sampled
177,8/24/2021,3,North,Tom's Point,C_gigas,21_NT,21,NT,43,16,204,9,9,0,0,10,0,185,0.906862745,0.093137255,0,
178,8/24/2021,3,North,Tom's Point,C_gigas,16_NT,16,NT,44,13,205,91,91,0,0,10,0,104,0.507317073,0.492682927,0,
179,8/24/2021,3,North,Tom's Point,C_gigas,16_NT,16,NT,45,10,195,172,172,0,0,10,0,13,0.066666667,0.933333333,0,
180,8/24/2021,3,North,Tom's Point,C_gigas,16_NT,16,NT,46,1,203,156,156,0,6,10,0,37,0.18226601,0.81773399,0,
181,8/23/2021,3,Middle,Hamlet,C_sikamea,21_T,21,T,13,8,222,2,2,0,0,10,0,210,0.945945946,0.054054054,0,
182,8/23/2021,3,Middle,Hamlet,C_sikamea,21_T,21,T,14,1,223,1,1,0,0,10,0,212,0.950672646,0.049327354,0,
183,8/23/2021,3,Middle,Hamlet,C_sikamea,21_T,21,T,15,13,223,0,0,0,0,10,0,213,0.955156951,0.044843049,0,
184,8/23/2021,3,Middle,Hamlet,C_sikamea,16_T,16,T,16,10,229,1,1,0,0,10,0,218,0.951965066,0.048034934,0,
185,8/23/2021,3,Middle,Hamlet,C_sikamea,16_T,16,T,17,5,230,1,1,0,0,10,0,219,0.952173913,0.047826087,0,
186,8/23/2021,3,Middle,Hamlet,C_sikamea,16_T,16,T,18,11,229,0,0,0,0,10,0,219,0.956331878,0.043668122,0,
187,8/23/2021,3,Middle,Hamlet,C_sikamea,21_NT,21,NT,19,17,152,4,4,0,0,10,0,138,0.907894737,0.092105263,0,
188,8/23/2021,3,Middle,Hamlet,C_sikamea,21_NT,21,NT,20,4,152,0,0,0,0,9,0,143,0.940789474,0.059210526,0,only 9 oysters sampled
189,8/23/2021,3,Middle,Hamlet,C_sikamea,21_NT,21,NT,21,14,153,1,1,0,0,10,0,142,0.928104575,0.071895425,0,
190,8/23/2021,3,Middle,Hamlet,C_sikamea,16_NT,16,NT,22,16,230,1,1,0,0,10,1,218,0.947826087,0.052173913,0,extra oyster removed for qPCR sampling
191,8/23/2021,3,Middle,Hamlet,C_sikamea,16_NT,16,NT,23,2,230,2,2,0,0,10,0,218,0.947826087,0.052173913,0,
192,8/23/2021,3,Middle,Hamlet,C_sikamea,16_NT,16,NT,24,7,227,3,3,0,0,10,0,214,0.942731278,0.057268722,0,
193,8/23/2021,3,Middle,Hamlet,C_gigas,21_NT,21,NT,51,18,117,10,10,0,0,10,0,97,0.829059829,0.170940171,0,
194,8/23/2021,3,Middle,Hamlet,C_gigas,21_NT,21,NT,52,15,141,48,48,0,0,10,0,83,0.588652482,0.411347518,0,
195,8/23/2021,3,Middle,Hamlet,C_gigas,21_NT,21,NT,53,9,80,13,13,0,0,10,0,57,0.7125,0.2875,0,
196,8/23/2021,3,Middle,Hamlet,C_gigas,16_NT,16,NT,54,3,17,4,4,0,0,10,0,3,0.176470588,0.823529412,0,
