Sampling_Time,Site,Location,Species,SH_Tide,SH_Temp,Bag,Rep,L,W
1,South,TBOC,M. gigas,No Tide,21,62,1,2.66,1.783
1,South,TBOC,M. gigas,No Tide,21,62,2,2.518,2.054
1,South,TBOC,M. gigas,No Tide,21,62,3,2.054,1.827
1,South,TBOC,M. gigas,No Tide,21,62,4,2.346,1.809
1,South,TBOC,M. gigas,No Tide,21,62,5,3.007,1.696
1,South,TBOC,M. gigas,No Tide,21,62,6,2.581,1.84
1,South,TBOC,M. gigas,No Tide,21,62,7,2.575,1.9
1,South,TBOC,M. gigas,No Tide,21,62,8,2.146,1.795
1,South,TBOC,M. gigas,No Tide,21,62,9,3.155,2.124
1,South,TBOC,M. gigas,No Tide,21,62,10,2.239,1.766
1,South,TBOC,M. gigas,No Tide,21,63,1,2.26,1.625
1,South,TBOC,M. gigas,No Tide,21,63,2,3.099,2.131
1,South,TBOC,M. gigas,No Tide,21,63,3,2.21,1.75
1,South,TBOC,M. gigas,No Tide,21,63,4,2.611,1.766
1,South,TBOC,M. gigas,No Tide,21,63,5,2.618,2.144
1,South,TBOC,M. gigas,No Tide,21,63,6,2.699,1.855
1,South,TBOC,M. gigas,No Tide,21,63,7,2.761,2.023
1,South,TBOC,M. gigas,No Tide,21,63,8,2.737,1.857
1,South,TBOC,M. gigas,No Tide,21,63,9,3.203,2.1
1,South,TBOC,M. gigas,No Tide,21,63,10,2.544,1.809
1,South,TBOC,M. gigas,No Tide,16,64,1,2.608,1.652
1,South,TBOC,M. gigas,No Tide,16,64,2,2.619,2.015
1,South,TBOC,M. gigas,No Tide,16,64,3,2.746,2.164
1,South,TBOC,M. gigas,No Tide,16,64,4,2.544,2.429
1,South,TBOC,M. gigas,No Tide,16,64,5,2.384,1.623
1,South,TBOC,M. gigas,No Tide,16,64,6,2.101,1.654
1,South,TBOC,M. gigas,No Tide,16,64,7,3.037,2.047
1,South,TBOC,M. gigas,No Tide,16,64,8,2.803,1.669
1,South,TBOC,M. gigas,No Tide,16,64,9,2.598,1.667
1,South,TBOC,M. gigas,No Tide,16,64,10,2.171,1.689
1,South,TBOC,M. gigas,No Tide,16,65,1,2.881,2.091
1,South,TBOC,M. gigas,No Tide,16,65,2,1.989,1.535
1,South,TBOC,M. gigas,No Tide,16,65,3,3.431,2.123
1,South,TBOC,M. gigas,No Tide,16,65,4,2.889,2.135
1,South,TBOC,M. gigas,No Tide,16,65,5,2.971,1.996
1,South,TBOC,M. gigas,No Tide,16,65,6,2.885,1.808
1,South,TBOC,M. gigas,No Tide,16,65,7,3.019,1.831
1,South,TBOC,M. gigas,No Tide,16,65,8,2.725,1.938
1,South,TBOC,M. gigas,No Tide,16,65,9,2.319,1.628
1,South,TBOC,M. gigas,No Tide,16,65,10,2.661,1.756
1,South,TBOC,M. gigas,No Tide,16,66,1,2.59,1.952
1,South,TBOC,M. gigas,No Tide,16,66,2,2.224,1.594
1,South,TBOC,M. gigas,No Tide,16,66,3,2.902,1.967
1,South,TBOC,M. gigas,No Tide,16,66,4,1.934,1.667
1,South,TBOC,M. gigas,No Tide,16,66,5,2.903,1.755
1,South,TBOC,M. gigas,No Tide,16,66,6,2.472,1.8
1,South,TBOC,M. gigas,No Tide,16,66,7,2.108,1.669
1,South,TBOC,M. gigas,No Tide,16,66,8,2.033,1.551
1,South,TBOC,M. gigas,No Tide,16,66,9,2.471,1.624
1,South,TBOC,M. gigas,No Tide,16,66,10,2.88,1.786
4,South,TBOC,M. gigas,No Tide,21,61,1,2.872,2.511
4,South,TBOC,M. gigas,No Tide,21,61,2,2.642,2.127
4,South,TBOC,M. gigas,No Tide,21,61,3,2.323,2.51
4,South,TBOC,M. gigas,No Tide,21,61,4,2.631,2.57
4,South,TBOC,M. gigas,No Tide,21,61,5,3.114,2.096
4,South,TBOC,M. gigas,No Tide,21,61,6,3.483,2.318
4,South,TBOC,M. gigas,No Tide,21,61,7,3.167,2.658
4,South,TBOC,M. gigas,No Tide,21,61,8,3.027,1.966
4,South,TBOC,M. gigas,No Tide,21,61,9,3.365,2.143
4,South,TBOC,M. gigas,No Tide,21,61,10,3.106,2.601
4,South,TBOC,M. gigas,No Tide,21,62,1,2.213,1.96
4,South,TBOC,M. gigas,No Tide,21,62,2,2.586,2.05
4,South,TBOC,M. gigas,No Tide,21,62,3,3.252,2.488
4,South,TBOC,M. gigas,No Tide,21,62,4,2.676,1.996
4,South,TBOC,M. gigas,No Tide,21,62,5,2.678,2.278
4,South,TBOC,M. gigas,No Tide,21,62,6,2.571,2.009
4,South,TBOC,M. gigas,No Tide,21,62,7,2.798,2.225
4,South,TBOC,M. gigas,No Tide,21,62,8,3.191,2.052
4,South,TBOC,M. gigas,No Tide,21,62,9,2.495,1.892
4,South,TBOC,M. gigas,No Tide,21,62,10,2.684,1.818
4,South,TBOC,M. gigas,No Tide,21,63,1,3.359,2.317
4,South,TBOC,M. gigas,No Tide,21,63,2,2.976,1.795
4,South,TBOC,M. gigas,No Tide,21,63,3,2.347,1.757
4,South,TBOC,M. gigas,No Tide,21,63,4,2.653,1.944
4,South,TBOC,M. gigas,No Tide,21,63,5,2.776,2.362
4,South,TBOC,M. gigas,No Tide,21,63,6,3.036,2.019
4,South,TBOC,M. gigas,No Tide,21,63,7,3.395,1.983
4,South,TBOC,M. gigas,No Tide,21,63,8,2.385,1.686
4,South,TBOC,M. gigas,No Tide,21,63,9,2.735,1.776
4,South,TBOC,M. gigas,No Tide,21,63,10,2.973,2.105
4,South,TBOC,M. gigas,No Tide,16,64,1,3.122,2.613
4,South,TBOC,M. gigas,No Tide,16,64,2,2.44,2.442
4,South,TBOC,M. gigas,No Tide,16,64,3,3.501,2.366
4,South,TBOC,M. gigas,No Tide,16,64,4,3.206,2.485
4,South,TBOC,M. gigas,No Tide,16,64,5,3.066,2.295
4,South,TBOC,M. gigas,No Tide,16,64,6,3.205,2.066
4,South,TBOC,M. gigas,No Tide,16,64,7,2.705,2.626
4,South,TBOC,M. gigas,No Tide,16,64,8,2.783,1.837
4,South,TBOC,M. gigas,No Tide,16,64,9,2.897,2.762
4,South,TBOC,M. gigas,No Tide,16,64,10,2.781,1.904
4,South,TBOC,M. gigas,No Tide,16,65,1,3.099,1.696
4,South,TBOC,M. gigas,No Tide,16,65,2,3.171,2.596
4,South,TBOC,M. gigas,No Tide,16,65,3,2.686,1.771
4,South,TBOC,M. gigas,No Tide,16,65,4,2.457,2.236
4,South,TBOC,M. gigas,No Tide,16,65,5,2.917,1.945
4,South,TBOC,M. gigas,No Tide,16,65,6,2.263,1.746
4,South,TBOC,M. gigas,No Tide,16,65,7,2.541,2.135
4,South,TBOC,M. gigas,No Tide,16,65,8,2.423,1.866
4,South,TBOC,M. gigas,No Tide,16,65,9,3.903,2.825
4,South,TBOC,M. gigas,No Tide,16,65,10,2.11,1.837
4,South,TBOC,M. gigas,No Tide,16,66,1,2.852,2.064
4,South,TBOC,M. gigas,No Tide,16,66,2,3.027,2.081
4,South,TBOC,M. gigas,No Tide,16,66,3,2.647,1.69
4,South,TBOC,M. gigas,No Tide,16,66,4,3.294,1.996
4,South,TBOC,M. gigas,No Tide,16,66,5,2.562,2.571
4,South,TBOC,M. gigas,No Tide,16,66,6,2.719,1.734
4,South,TBOC,M. gigas,No Tide,16,66,7,2.824,2.015
4,South,TBOC,M. gigas,No Tide,16,66,8,2.933,1.868
4,South,TBOC,M. gigas,No Tide,16,66,9,3.797,2.495
4,South,TBOC,M. gigas,No Tide,16,66,10,2.587,1.96
