Bag,Replicate,Sampling,Date,Site,Species,Species_Latin,SH_Temp,SH_Tide,Dilution_1,MilliQ_ul_1,Dilution_2,Date_Homogenized,Mean_Abs_375,Control_375,control - blank,carbonylContent/well,Protien_content/ug/ml,nmole_carbonyl/mg_protein,Dilution_factor,CarbPerProtein
19,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.126,0.074,0.052,0.81709617,394.097,2.0733377,2,4.14667539
19,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.106,0.077,0.029,0.45568825,533.844,0.85359814,2,1.70719628
20,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.245,0.077,0.168,2.63984915,462.174,5.711808,2,11.423616
20,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.129,0.077,0.052,0.81709617,438.719,1.86245904,2,3.72491807
20,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.103,0.077,0.026,0.40854808,101.066,4.04238896,2,8.08477793
20,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.157,0.077,0.08,1.25707102,548.064,2.29365735,2,4.58731471
20,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,8-Oct-22,0.115,0.074,0.041,0.6442489,378.602,1.70165213,2,3.40330426
21,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,24-Oct-22,0.119,0.077,0.042,0.65996229,411.183,1.60503301,2,3.21006602
21,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,24-Oct-22,0.155,0.077,0.078,1.22564425,467.87,2.61962564,2,5.23925128
21,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,24-Oct-22,0.165,0.077,0.088,1.38277813,396.41,3.48825238,2,6.97650477
21,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,24-Oct-22,0.168,0.077,0.091,1.42991829,829.496,1.72383989,2,3.44767977
21,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,Tide,1,300,1,24-Oct-22,,,,,,,2,
22,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.124,0.077,0.047,0.73852923,488.002,1.51337336,2,3.02674672
22,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.118,0.077,0.041,0.6442489,467.869,1.37698565,2,2.7539713
22,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.101,0.077,0.024,0.37712131,251.579,1.49901744,2,2.99803487
22,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.097,0.077,0.02,0.31426776,301.347,1.04287667,2,2.08575334
22,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.12,0.074,0.046,0.72281584,372.221,1.94189968,2,3.88379935
23,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.114,0.077,0.037,0.58139535,399.016,1.45707277,2,2.91414554
23,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.126,0.077,0.049,0.769956,308.634,2.49472191,2,4.98944382
23,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.114,0.077,0.037,0.58139535,366.065,1.58822982,2,3.17645964
23,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,,,,,,,2,
23,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.086,0.074,0.012,0.18856065,344.067,0.5480347,2,1.09606939
24,1,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.097,0.077,0.02,0.31426776,190.986,1.64550153,2,3.29100307
24,2,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.121,0.077,0.044,0.69138906,380.793,1.81565592,2,3.63131183
24,3,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.137,0.077,0.06,0.94280327,523.119,1.80227304,2,3.60454607
24,4,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.122,0.077,0.045,0.70710245,417.272,1.69458399,2,3.38916798
24,5,5,11-Aug-22,BBOC - Middle,Pacific,M. gigas,21,No_Tide,1,300,1,24-Oct-22,0.113,0.074,0.039,0.61282212,180.488,3.39536215,2,6.79072431
25,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.091,0.077,0.014,0.21998743,148.529,1.48110759,2,2.96221518
25,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.089,0.077,0.012,0.18856065,318.165,0.59265052,2,1.18530105
25,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.104,0.077,0.027,0.42426147,202.906,2.0909262,2,4.18185239
25,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.105,0.077,0.028,0.43997486,353.192,1.24571015,2,2.4914203
25,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.098,0.074,0.024,0.37712131,243.981,1.54569949,2,3.09139898
26,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.16,0.077,0.083,1.30421119,719.418,1.81286983,2,3.62573966
26,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.098,0.077,0.021,0.32998114,212.282,1.55444712,2,3.10889424
26,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.087,0.077,0.01,0.15713388,133.288,1.17890491,2,2.35780983
26,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.092,0.077,0.015,0.23570082,146.835,1.60520868,2,3.21041737
26,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.097,0.074,0.023,0.36140792,244.889,1.47580299,2,2.95160599
27,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.101,0.077,0.024,0.37712131,238.751,1.57955907,2,3.15911814
27,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.106,0.077,0.029,0.45568825,249.012,1.82998509,2,3.65997017
27,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.095,0.077,0.018,0.28284098,152.767,1.85145339,2,3.70290679
27,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.091,0.077,0.014,0.21998743,118.913,1.84998637,2,3.69997274
27,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,No_Tide,1,300,1,24-Oct-22,0.09825,0.077,0.02125,0.33390949,189.86075,1.77774598,2,3.55549196
28,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.106,0.077,0.029,0.45568825,294.469,1.5474914,2,3.09498281
28,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.085,0.077,0.008,0.1257071,57.416,2.18940892,2,4.37881784
28,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.096,0.077,0.019,0.29855437,162.945,1.83224013,2,3.66448026
28,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.115,0.077,0.038,0.59710874,323.735,1.84443677,2,3.68887353
28,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.1005,0.077,0.0235,0.36926461,209.64125,1.85339431,2,3.70678861
29,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.1,0.077,0.023,0.36140792,216.547,1.66895833,2,3.33791666
29,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.095,0.077,0.018,0.28284098,196.947,1.43612739,2,2.87225477
29,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.101,0.077,0.024,0.37712131,276.437,1.36422153,2,2.72844306
29,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.116,0.077,0.039,0.61282212,361.746,1.69406745,2,3.3881349
29,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.103,0.077,0.026,0.40854808,262.91925,1.54084368,2,3.08168735
30,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.116,0.077,0.039,0.61282212,377.329,1.62410555,2,3.24821111
30,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.113,0.077,0.036,0.56568196,328.909,1.71987377,2,3.43974754
30,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.094,0.077,0.017,0.26712759,164.644,1.62245568,2,3.24491136
30,4,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.093,0.077,0.016,0.2514142,137.52,1.82820102,2,3.65640205
30,5,5,10-Aug-22,TBOC - South,Pacific,M. gigas,15,Tide,1,300,1,21-Oct-22,0.104,0.077,0.027,0.42426147,252.1005,1.69865901,2,3.39731801
31,1,5,10-Aug-22,TBOC - South,Pacific,M. gigas,21,Tide,1,300,1,21-Oct-22,0.106,0.077,0.029,0.45568825,300.703,1.51540971,2,3.03081942
31,2,5,10-Aug-22,TBOC - South,Pacific,M. gigas,21,Tide,1,300,1,21-Oct-22,0.121,0.077,0.044,0.69138906,260.327,2.65584847,2,5.31169693
31,3,5,10-Aug-22,TBOC - South,Pacific,M. gigas,21,Tide,1,300,1,21-Oct-22,0.106,0.077,0.029,0.45568825,220.957,2.06233904,2,4.12467807
